,Match,Date,Start Time,Innings,Over,Ball,Innings Ball,Batter,Bowler,Runs,Extra Runs,Bowler Extra Runs,Extra,Line,Length,Shot,Feet,Secondary Feet,Connection,Delivery,Speed,Appeal Type,On-Field Decision,Referral Decision,Wicket,Dismissed Batter,FieldX,FieldY,ArrivalX,ArrivalY,Events,User Events,Around the Wicket,Keeper Up,Fielder1,Fielder1 Events,Fielder1 Position,Fielder2,Fielder2 Events,Fielder2 Position,Fielder3,Fielder3 Events,Fielder3 Position,Fielder4,Fielder4 Events,Fielder4 Position,Batting Hand,Bowler Type,Timestamp,Runs Saved or Lost,Toss Won By,Toss Decision,Ground End,Non-Striker,Team Runs,Team Wickets,Batting Position,Power Play,Day,Session,Pitch Number,Umpire,Result,Winning Team,Losing Team,Batting Team,Bowling Team,Venue,User,Analysis Key Moment,Video Key Moment,Breaks,Temperature C,Humidity,Pressure hPa,Legal Ball,Actual Ball,Free Hit,Partnership Number,Cumulative Batter Balls,Cumulative Batter Runs,Bowling Spell,Bowling Over In Spell,Batter Coming In Over,Run Rate At Start,Run Rate After,Req Run Rate At Start,Req Run Rate After,PitchX,PitchY,ReleaseX,ReleaseY,ReleaseZ,BounceSpeed,StumpSpeed,DropSpeed,ImpactX,ImpactY,ImpactZ,LandingX,LandingY,Deviation,SwingAngle,DropAngle,BounceAngle,ReleaseAngle,ReleaseAccelerationY,ReleaseAccelerationZ,PastX,PastY,PastZ
0,MI Global A v SACA,04/08/2023,09:28 UTC+1,1,1,1,1,Jakob Bhula,Arshad Khan,0,0,0,,Line,Length,,,,,,,,,,,,196.0,126.0,32.03167420814498,39.25437517776342,,,No,No,,,,,,,,,,,,,RHB,LM,20230804 10:30:05.343,0,MI Global A,Bowl,South,Zen Malik,0,0,1,1.0,1,1,,,MI Global A won by 4 wickets,MI Global A,SACA,SACA,MI Global A,Slough Cricket Club,varun.narasimhan,,,,,,,Yes,1,No,1,1,0,1,1,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,MI Global A v SACA,04/08/2023,09:28 UTC+1,1,1,2,2,Jakob Bhula,Arshad Khan,0,0,0,,Line,Length,,,,,,,,,,,,,,-35.24434389140265,64.12972100840335,,,No,No,,,,,,,,,,,,,RHB,LM,20230804 10:30:48.223,0,MI Global A,Bowl,South,Zen Malik,0,0,1,1.0,1,1,,,MI Global A won by 4 wickets,MI Global A,SACA,SACA,MI Global A,Slough Cricket Club,varun.narasimhan,,,,,,,Yes,2,No,1,2,0,1,1,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,MI Global A v SACA,04/08/2023,09:28 UTC+1,1,1,3,3,Jakob Bhula,Arshad Khan,0,0,0,,Leg,Full,,,,,In Swinger,,,,,,,135.0,138.0,14.945701357466078,31.23007007110539,,,No,No,,,,,,,,,,,,,RHB,LM,20230804 10:31:18.807,0,MI Global A,Bowl,South,Zen Malik,0,0,1,1.0,1,1,,,MI Global A won by 4 wickets,MI Global A,SACA,SACA,MI Global A,Slough Cricket Club,varun.narasimhan,,,,,,,Yes,3,No,1,3,0,1,1,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,MI Global A v SACA,04/08/2023,09:28 UTC+1,1,1,4,4,Jakob Bhula,Arshad Khan,0,0,0,,Line,Full,,,,,,,,,,,,,,-44.85520361990939,48.08111079508726,,,No,No,,,,,,,,,,,,,RHB,LM,20230804 10:31:55.413,0,MI Global A,Bowl,South,Zen Malik,0,0,1,1.0,1,1,,,MI Global A won by 4 wickets,MI Global A,SACA,SACA,MI Global A,Slough Cricket Club,varun.narasimhan,,,,,,,Yes,4,No,1,4,0,1,1,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,MI Global A v SACA,04/08/2023,09:28 UTC+1,1,1,5,5,Jakob Bhula,Arshad Khan,0,0,0,,Line,Full,,,,,,,,,,,,149.0,230.0,-10.683257918552043,29.625209049773808,,,No,No,,,,,,,,,,,,,RHB,LM,20230804 10:32:22.877,0,MI Global A,Bowl,South,Zen Malik,0,0,1,1.0,1,1,,,MI Global A won by 4 wickets,MI Global A,SACA,SACA,MI Global A,Slough Cricket Club,varun.narasimhan,,,,,,,Yes,5,No,1,5,0,1,1,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,MI Global A v SACA,04/08/2023,09:28 UTC+1,1,1,6,6,Jakob Bhula,Arshad Khan,0,1,0,Leg Bye,,,,,,,,,,,,,,121.0,121.0,27.76018099547514,52.8956938590821,,,No,No,,,,,,,,,,,,,RHB,LM,20230804 10:33:06.883,0,MI Global A,Bowl,South,Zen Malik,1,0,1,1.0,1,1,,,MI Global A won by 4 wickets,MI Global A,SACA,SACA,MI Global A,Slough Cricket Club,varun.narasimhan,,,,,,,Yes,6,No,1,6,0,1,1,1,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,MI Global A v SACA,04/08/2023,09:28 UTC+1,1,2,1,7,Jakob Bhula,Vasu Vats,0,1,1,Wide,,,,,,,,,,,,,,,,-80.09502262443425,24.810625985778984,,,No,No,,,,,,,,,,,,,RHB,RFM,20230804 10:34:15.413,0,MI Global A,Bowl,North,Zen Malik,2,0,1,1.0,1,1,,,MI Global A won by 4 wickets,MI Global A,SACA,SACA,MI Global A,Slough Cricket Club,varun.narasimhan,,,,,,,No,1,No,1,6,0,1,1,1,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,MI Global A v SACA,04/08/2023,09:28 UTC+1,1,2,2,7,Jakob Bhula,Vasu Vats,0,0,0,,Line,Length,,,,,,,,,,Caught,Jakob Bhula,216.0,219.0,-8.547511312217239,52.093263348416265,,,No,No,S Mishra,Catch,,,,,,,,,,,RHB,RFM,20230804 10:34:53.983,0,MI Global A,Bowl,North,Zen Malik,2,1,1,1.0,1,1,,,MI Global A won by 4 wickets,MI Global A,SACA,SACA,MI Global A,Slough Cricket Club,varun.narasimhan,,,,,,,Yes,1,No,1,7,0,1,1,1,2.0,1.71,,,,,,,,,,,,,,,,,,,,,,,,,
8,MI Global A v SACA,04/08/2023,09:28 UTC+1,1,2,3,8,I Mohammad,Vasu Vats,0,1,1,Wide,,,,,,,,,,,,,,,,-91.84162895927601,28.82277853910796,,,No,No,,,,,,,,,,,,,RHB,RFM,20230804 10:36:42.947,0,MI Global A,Bowl,North,Zen Malik,3,1,3,1.0,1,1,,,MI Global A won by 4 wickets,MI Global A,SACA,SACA,MI Global A,Slough Cricket Club,varun.narasimhan,,,,,,,No,2,No,2,0,0,1,1,2,1.71,2.57,,,,,,,,,,,,,,,,,,,,,,,,,
9,MI Global A v SACA,04/08/2023,09:28 UTC+1,1,2,4,8,I Mohammad,Vasu Vats,0,0,0,,,,,,,,,,,,,,,,,-53.39819004524884,48.08111079508726,,,No,No,,,,,,,,,,,,,RHB,RFM,20230804 10:37:06.793,0,MI Global A,Bowl,North,Zen Malik,3,1,3,1.0,1,1,,,MI Global A won by 4 wickets,MI Global A,SACA,SACA,MI Global A,Slough Cricket Club,varun.narasimhan,,,,,,,Yes,2,No,2,1,0,1,1,2,2.57,2.25,,,,,,,,,,,,,,,,,,,,,,,,,
