,src_player_id,player_name,competition_name,season,team_id,cricinfo_id
0,f32015900d88626f,Ahmed Daniyal,BBL,2021,5,1249564
1,e1c6653c51a5429c,Daniel Christian,BBL,2021,7,4864
12,de13b108d6424a73,Ian Cockbain,BBL,2021,1,297498
13,dcf4bceb01e42905,Ronan McDonald,BBL,2021,2,499488
14,bd92d3ec877f4e9d,Chris Sabburg,BBL,2021,6,376179
15,bc7a360cfd134f66,Xavier Crone,BBL,2021,5,1062338
16,afc862e662b74f64,Steve O Keefe,BBL,2021,7,7069
22,a6a5a9bb2752482d,Nathan Coulter Nile,BBL,2021,5,261354
33,a359a2e2a7ba9138,Will Sanders,BBL,2021,3,1295979
34,982dd92d8abc401e,Sandeep Lamichane,BBL,2021,3,960361
43,8d85c8ae64866d5d,Lachlan Pfeffer,BBL,2021,2,333800
44,885168d876d34409,Samuel Elliott,BBL,2021,5,1219974
45,79cebd75ad33b036,Tom Lammonby,BBL,2021,3,902907
46,7935f474a133f40a,Jack Clayton,BBL,2021,2,1202236
47,74b05ca3b8674106,D Arcy Short,BBL,2021,3,308798
54,73fc2369ce2e4713,Ben Mcdermott,BBL,2021,3,603410
60,62a5f684cad14b6b,Fakhar Zaman,BBL,2021,2,512191
61,4ec1a8da14422204,Patrick Rowe,BBL,2021,5,1130758
62,421e7496dd174526,Nathan Mcandrew,BBL,2021,8,785323
67,2a9451fa5ba536f7,Daniel Drew,BBL,2021,1,1062347
68,19001a9f839f4e1a,Tom OConnell,BBL,2021,5,1159591
71,169b4fc50d409647,Steven McGiffin,BBL,2021,2,1223053
72,fafa5783604f45e2,Gurkeerat Mann Singh,IPL,2013,26,537124
77,f813e81b9c28461d,Harmeet Singh Bansal,IPL,2013,26,391128
81,f3bfe7d38da54016,Siddarth Trivedi,IPL,2013,27,35353
86,e86a54884a3a4dfc,Quinton De Kock,IPL,2013,29,379143
96,dda84b6841c14835,Ts Suman,IPL,2013,25,34281
100,db8bbffe4fd54627,Darren Sammy,IPL,2013,29,53115
106,cb582a7c48e54655,Rp Singh,IPL,2013,28,35280
111,b8a4165501bc435c,Ab De Villiers,IPL,2013,28,44936
121,a81848fb91754a7f,Andrew Mcdonald,IPL,2013,28,6553
125,97a1e0a410f342f5,R Satish,IPL,2013,26,33870
129,9272496c55f942a6,Ryan Ten Doeschate,IPL,2013,21,47660
135,8d3b3ba26a0b4ee7,Ricky Ponting,IPL,2013,23,7133
136,8c4127a346ef414a,Kb Arun Karthik,IPL,2013,28,319745
140,7b6df0ec789344f2,Ajit Chandila,IPL,2013,27,27783
142,757546ec9f394479,Laxmi Ratan Shukla,IPL,2013,21,34019
146,6c5965cb6e794bd4,Krishnakant Upadhyay,IPL,2013,25,431876
148,60be5b418c104f29,Manvinder Bisla,IPL,2013,21,27280
