,id,age,born,bowler_sub_type,country,cricinfo_id,cricsheet_id,full_name,is_batsman,is_bowler,is_wicket_keeper,load_timestamp,name,nvplay_id,short_name,source_name,sports_mechanics_id,striker_batting_type
128,849,,,,,,,,,,,,,,,,a90f6be2bfb0458b,
132,1002,,,,,,,,,,,,,,,,09df3a94e34f4837,
190,978,,,,,,,,,,,,,,,,6f33c5cd0d39410d,
244,977,,,,,,,,,,,,,,,,f0e993555aa24f31,
274,902,,,,,,,,,,,,,,,,934d8eb7c3724be4,
667,973,,,,,,,,,,,,,,,,49221b378a55ffb1,
903,987,,,,,,,,,,,,,,,,53f60783c5e14a8e,
913,985,,,,,,,,,,,,,,,,54b250aca06e4d7f,
917,940,,,,,,,,,,,,,,,,a7b411b100134481,
955,976,,,,,,,,,,,,,,,,0e000f036583f77b,
