,PlayerID,season,competition_name,src_match_id,team_id,src_team_id,src_player_id,player_id
2,b8a4165501bc435c,2019,BBL,7cd3bd475e57a712,2,a4d43ed3eb074b4c,,
70,b8a4165501bc435c,2012,IPL,71811098530a41c8,28,46c63e0cd1d643ef,,
150,7140d1ace34d4a58,2022,BBL,0831afe4a55dacc2,4,2a8fb27ae8f542db,,
162,7140d1ace34d4a58,2021,BBL,d26aa3dd1a6799a7,3,cd2b5040a5614e96,,
223,b8a4165501bc435c,2021,IPL,e5fb40186cf243dc,28,46c63e0cd1d643ef,,
259,7140d1ace34d4a58,2019,BBL,2c2ac7584346f9a8,3,cd2b5040a5614e96,,
272,7140d1ace34d4a58,2022,BBL,b806612c2319a827,4,2a8fb27ae8f542db,,
343,b8a4165501bc435c,2021,IPL,6dc5bfb710334cb2,17,b3a3957ac6e74bf7,,
377,b8a4165501bc435c,2014,IPL,ec748922423f464a,28,46c63e0cd1d643ef,,
406,09df3a94e34f4837,2018,BBL,c24cad85ebd8486a,4,2a8fb27ae8f542db,,
454,b8a4165501bc435c,2021,IPL,4d72ddc6596b4526,28,46c63e0cd1d643ef,,
688,eedd942ec311468a,2021,IPL,a1e161e57d01cf99,29,ad34a8e5f0264b95,,
776,b8a4165501bc435c,2014,IPL,7714c6d3e6c74233,28,46c63e0cd1d643ef,,
800,8a1230c3311e447c,2012,IPL,5bd605df934543c4,25,0fefd0b32fba428f,,
873,b8a4165501bc435c,2012,IPL,3ee15b5d9b584861,28,46c63e0cd1d643ef,,
947,b8a4165501bc435c,2019,BBL,109b3fcaab5fe907,2,a4d43ed3eb074b4c,,
969,b8a4165501bc435c,2012,IPL,5136a95f80b34c7c,28,46c63e0cd1d643ef,,
1003,b8a4165501bc435c,2021,IPL,a9861376007c5683,28,46c63e0cd1d643ef,,
1053,09df3a94e34f4837,2018,BBL,59adbb6bab9c413a,4,2a8fb27ae8f542db,,
1088,b8a4165501bc435c,2021,IPL,fcbe989cb95846c8,28,46c63e0cd1d643ef,,
1119,8a1230c3311e447c,2021,IPL,5f35be119d45493f,17,b3a3957ac6e74bf7,,
1203,eedd942ec311468a,2021,IPL,29f05f7fe0f6de30,29,ad34a8e5f0264b95,,
1211,b8a4165501bc435c,2021,IPL,29f05f7fe0f6de30,28,46c63e0cd1d643ef,,
1270,49221b378a55ffb1,2023,IPL,9d69b7acff215d06,17,b3a3957ac6e74bf7,,
1297,b8a4165501bc435c,2021,IPL,7982c0226be64e3b,28,46c63e0cd1d643ef,,
1330,a90f6be2bfb0458b,2021,BBL,7f70bd353ea5447c,7,47833ee7613144ec,,
1372,eedd942ec311468a,2023,IPL,f991067645145538,29,ad34a8e5f0264b95,,
1405,b8a4165501bc435c,2021,IPL,dfcbfb3cd93f48e3,28,46c63e0cd1d643ef,,
1522,6f33c5cd0d39410d,2018,CPL,a48144e3104549f2,9,60fd7f94b3544ad3,,
1531,7140d1ace34d4a58,2021,BBL,5ea69c7cac7857ce,3,cd2b5040a5614e96,,
1548,b8a4165501bc435c,2021,IPL,67ced817fd45bc72,28,46c63e0cd1d643ef,,
1724,b8a4165501bc435c,2021,IPL,0caea009b04b4ff5,28,46c63e0cd1d643ef,,
1768,b8a4165501bc435c,2021,IPL,1c99702dcb794725,28,46c63e0cd1d643ef,,
1822,b8a4165501bc435c,2016,IPL,3b9546754127498b,28,46c63e0cd1d643ef,,
1844,b8a4165501bc435c,2021,IPL,c7e0f7122fe54a09,28,46c63e0cd1d643ef,,
1859,eedd942ec311468a,2021,IPL,a9861376007c5695,29,ad34a8e5f0264b95,,
1871,934d8eb7c3724be4,2021,IPL,a9861376007c5695,26,f70ca7e4131341cb,,
2105,b8a4165501bc435c,2015,IPL,42e27efb72a64624,28,46c63e0cd1d643ef,,
2168,09df3a94e34f4837,2018,BBL,64e77300d92f4e9f,4,2a8fb27ae8f542db,,
2178,f0e993555aa24f31,2020,CPL,0e7e701e8fbd40bb,12,a57903691ef94dc0,,
2226,b8a4165501bc435c,2019,IPL,c96302da32bc4831,28,46c63e0cd1d643ef,,
2320,7140d1ace34d4a58,2022,BBL,64347fbacc90da4d,4,2a8fb27ae8f542db,,
2570,eedd942ec311468a,2022,IPL,6678289f748a9cf5,29,ad34a8e5f0264b95,,
2789,b8a4165501bc435c,2012,IPL,0c61d6c53fa14643,28,46c63e0cd1d643ef,,
2823,eedd942ec311468a,2021,IPL,73273c4030fa3644,29,ad34a8e5f0264b95,,
2919,b8a4165501bc435c,2013,IPL,1d7834068f2846bd,28,46c63e0cd1d643ef,,
3026,09df3a94e34f4837,2018,BBL,b5793d97c2fd49a8,4,2a8fb27ae8f542db,,
3048,8a1230c3311e447c,2021,IPL,4f9b33a72ddb4527,21,ccec044df7bd44bf,,
3077,49221b378a55ffb1,2023,IPL,85c18066df908c48,17,b3a3957ac6e74bf7,,
3193,b8a4165501bc435c,2014,IPL,da7e18f7ef934f0b,28,46c63e0cd1d643ef,,
3196,8a1230c3311e447c,2014,IPL,da7e18f7ef934f0b,28,46c63e0cd1d643ef,,
3214,b8a4165501bc435c,2021,IPL,71c6dcf0f22049b6,28,46c63e0cd1d643ef,,
3466,b8a4165501bc435c,2021,IPL,1757fed3ec2a4459,28,46c63e0cd1d643ef,,
3557,7140d1ace34d4a58,2021,BBL,46f383f9c3de68d5,3,cd2b5040a5614e96,,
3795,b8a4165501bc435c,2015,IPL,96bc3aef48ea476d,28,46c63e0cd1d643ef,,
3897,7140d1ace34d4a58,2019,BBL,52bd108f2fbf2fe2,3,cd2b5040a5614e96,,
4090,b8a4165501bc435c,2021,IPL,8cbc43b3fe0d4ad5,28,46c63e0cd1d643ef,,
4168,b8a4165501bc435c,2013,IPL,cc5a4121018141ba,28,46c63e0cd1d643ef,,
4310,b8a4165501bc435c,2019,IPL,c96302da32bc4828,28,46c63e0cd1d643ef,,
