,Unnamed: 0,item,season,match,cricketer,cricinfo_id,name,short_name,full_name
0,0,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/rilee-rossouw-318845,318845,RR Rossouw,Rossouw,Rilee Rossouw
1,1,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/shaun-von-berg-393289,393289,S von Berg,von Berg,Shaun von Berg
2,2,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/theunis-de-bruyn-486672,486672,TB de Bruyn,de Bruyn,Theunis de Bruyn
3,3,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/migael-pretorius-605683,605683,M Pretorius,Pretorius,Migael Pretorius
4,4,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/marco-marais-485216,485216,M Marais,Marais,Marco Marais
5,5,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/phil-salt-669365,669365,PD Salt,Salt,Phil Salt
6,6,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/aiden-markram-600498,600498,AK Markram,Markram,Aiden Markram
7,7,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/eathan-bosch-698343,698343,E Bosch,Bosch,Eathan Bosch
8,8,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/kusal-mendis-629074,629074,BKG Mendis,Mendis,Kusal Mendis
9,9,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/wayne-parnell-265564,265564,WD Parnell,Parnell,Wayne Parnell
10,10,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/daryn-dupavillon-501907,501907,DM Dupavillon,Dupavillon,Daryn Dupavillon
11,11,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/jos-buttler-308967,308967,JC Buttler,Buttler,Jos Buttler
12,12,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,47850,RE van der Merwe,van der Merwe,Roelof van der Merwe
13,13,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/josh-little-928067,928067,JB Little,Little,Josh Little
14,14,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/james-neesham-355269,355269,JDS Neesham,Neesham,James Neesham
15,15,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/shane-dadswell-595406,595406,S Dadswell,Dadswell,Shane Dadswell
16,16,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,596010,G Coetzee,Coetzee,Gerald Coetzee
17,17,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/senuran-muthusamy-535393,535393,S Muthusamy,Muthusamy,Senuran Muthusamy
18,18,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/anrich-nortje-481979,481979,A Nortje,Nortje,Anrich Nortje
19,19,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/faf-du-plessis-44828,44828,F du Plessis,du Plessis,Faf du Plessis
20,20,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/adil-rashid-244497,244497,AU Rashid,Rashid,Adil Rashid
21,21,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/cameron-delport-322810,322810,CS Delport,Delport,Cameron Delport
22,22,SA20,2023,"Pretoria Capitals squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/will-jacks-897549,897549,WG Jacks,Jacks,Will Jacks
23,23,SA20,2023,"Joburg Super Kings squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/leus-du-plooy-595739,595739,JL du Plooy,du Plooy,Leus du Plooy
24,24,SA20,2023,"Joburg Super Kings squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/donovan-ferreira-698315,698315,D Ferreira,Ferreira,Donovan Ferreira
25,25,SA20,2023,"Joburg Super Kings squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/kyle-verreynne-595004,595004,K Verreynne,Verreynne,Kyle Verreynne
26,26,SA20,2023,"Joburg Super Kings squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/harry-brook-911707,911707,HC Brook,Brook,Harry Brook
27,27,SA20,2023,"Joburg Super Kings squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/george-garton-643433,643433,GHS Garton,Garton,George Garton
28,28,SA20,2023,"Joburg Super Kings squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/lewis-gregory-362201,362201,L Gregory,Gregory,Lewis Gregory
29,29,SA20,2023,"Joburg Super Kings squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/nandre-burger-971349,971349,N Burger,Burger,Nandre Burger
30,30,SA20,2023,"Joburg Super Kings squad - SA20, 2023 Squad.html",https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,1138316,M Theekshana,Theekshana,Maheesh Theekshana
