,cricinfo_id,name,short_name,full_name
0,1289558,Laxmi Yadav,LK Yadav,Laxmi Kundan Yadav
1,1289983,Kiran Navgire,KP Navgire,Kiran Prabhu Navgire
2,276997,Shabnim Ismail,S Ismail,Shabnim Ismail
3,329336,Meg Lanning,MM Lanning,Meghann Moira Lanning
4,878039,Sophie Ecclestone,S Ecclestone,Sophie Ecclestone
5,474308,Hayley Matthews,HK Matthews,Hayley Kristen Matthews
6,515905,Nat Sciver-Brunt,Nat Sciver-Brunt,Natalie Ruth Sciver-Brunt
7,275486,Alyssa Healy,AJ Healy,Alyssa Jean Healy
8,1255541,Simran Shaikh,Simran Shaikh,Simran Banu Shaikh
9,1346678,Parshavi Chopra,PG Chopra,Parshavi Gaurav Chopra
10,1255442,Shweta Sehrawat,S Sehrawat,Shweta Sehrawat
11,1255485,Soppadhandi Yashasri,SV Yashasri,Soppadhandi Venugopal Yashasri
12,878025,Lauren Bell,LK Bell,Lauren Katie Bell
13,1146066,Issy Wong,IECM Wong,Isabelle Eleanor Chih Ming Wong
14,709635,Rajeshwari Gayakwad,RS Gayakwad,Rajeshwari Shivanand Gayakwad
15,960993,Shivali Shinde,SS Shinde,Shivali Shrikant Shinde
16,381311,Tahlia McGrath,TM McGrath,Tahlia May McGrath
17,597811,Deepti Sharma,DB Sharma,Deepti Bhagwan Sharma
18,709837,Devika Vaidya,DP Vaidya,Devika Purnendu Vaidya
19,381268,Grace Harris,GM Harris,Grace Margaret Harris
20,960673,Anjali Sarvani,K Anjali Sarvani,Kesavarajugari Anjali Sarvani
21,597806,Smriti Mandhana,S Mandhana,Smriti Shriniwas Mandhana
22,358259,Heather Knight,HC Knight,Heather Clare Knight
23,709843,Preeti Bose,Preeti Bose,Preeti Bose
24,961195,Komal Zanzad,KR Zanzad,Komal Ravindra Zanzad
25,231740,Sophie Devine,SFM Devine,Sophie Frances Monique Devine
26,960931,Sahana Pawar,SS Pawar,Sahana Shamsunder Pawar
27,275447,Erin Burns,EA Burns,Erin Alexandra Burns
28,550687,Sobhana Asha,S Asha,Sobhana Asha
29,1212830,Richa Ghosh,RM Ghosh,Richa Manabendra Ghosh
30,1289948,Shreyanka Patil,SR Patil,Shreyanka Rajesh Patil
31,1289979,Poonam Khemnar,PN Khemnar,Poonam Nanasaheb Khemnar
32,364413,Dane van Niekerk,D van Niekerk,Dane van Niekerk
33,275487,Ellyse Perry,EA Perry,Ellyse Alexandra Perry
34,961183,Disha Kasat,DD Kasat,Disha Deepak Kasat
35,420314,Megan Schutt,M Schutt,Megan Schutt
36,960853,Renuka Singh,Renuka Singh,Renuka Singh Thakur
37,1255560,Kanika Ahuja,KS Ahuja,Kanika S Ahuja
38,1255494,Indrani Roy,IT Roy,Indrani Tarun Roy
39,974175,Fazalhaq Farooqi,Fazalhaq Farooqi,Fazalhaq Farooqi
40,712219,Zahir Khan,Zahir Khan,Zahir Khan  Pakteen
41,784379,Wanindu Hasaranga,PWH de Silva,Pinnaduwage Wanindu Hasaranga de Silva
42,40618,Imran Tahir,Imran Tahir,Mohammad Imran Tahir
43,296597,James Vince,JM Vince,James Michael Vince
44,524049,Najibullah Zadran,Najibullah Zadran,Najibullah Zadran
45,464626,Craig Overton,C Overton,Craig Overton
46,1036191,Bas de Leede,BFW de Leede,Bas de Leede
47,1099224,Will Smeed,WCF Smeed,William Conrad Francis Smeed
48,902907,Tom Lammonby,TA Lammonby,Thomas Alexander Lammonby
49,288992,Chris Jordan,CJ Jordan,Christopher James Jordan
50,51439,Dwayne Bravo,DJ Bravo,Dwayne John Bravo
51,807535,Brad Wheal,BTJ Wheal,Bradley Thomas James Wheal
52,928057,Lorcan Tucker,LJ Tucker,Lorcan John Tucker
53,230559,Kieron Pollard,KA Pollard,Kieron Adrian Pollard
54,51862,Andre Fletcher,ADS Fletcher,Andre David Stephon Fletcher
55,277912,Trent Boult,TA Boult,Trent Alexander Boult
56,249866,Alex Hales,AD Hales,Alexander Daniel Hales
57,1178586,Vriitya Aravind,V Aravind,Vriitya Aravind
58,1209110,Basil Hameed,Basil Hameed,Basil Hameed
59,1172968,Dan Mousley,DR Mousley,Daniel Richard Mousley
60,221140,David Wiese,D Wiese,David Wiese
61,1241277,Muhammad Waseem,Muhammad Waseem,Muhammad Waseem
62,384525,Zahoor Khan,Zahoor Khan,Zahoor Khan
63,766809,Jordan Thompson,JA Thompson,Jordan Aaron Thompson
64,604302,Nicholas Pooran,N Pooran,Nicholas Pooran
65,18632,Samit Patel,SR Patel,Samit Rohit Patel
66,1275937,McKenny Clarke,M Clarke,McKenny Clarke
67,436757,Heinrich Klaasen,H Klaasen,Heinrich Klaasen
68,326635,Cameron Gannon,CJ Gannon,Cameron John Gannon
