,Unnamed: 0,player,src_player_id
0,0,R Uthappa,nv_06dafea23a1b040b123c79f2bc70cf444ceea6d82e38d59c3b6e513a6f1ac8b9
1,3,JE Root,nv_fa48dc5a49200c1d7d0e9cb0968340a712aae1611e745c361e02ef1eecc30c02
2,35,PBB Rajapaksa,nv_12ee2ef0bfb7848fb78173c679b90d4b609a550397a1606e1bc4228179858170
3,51,R Powell,nv_5c5fb3f6ef17de1a00875196372edf5a63951838bdeb09371f88f5d21e1f815e
4,76,SB Raza,nv_6d3d83fdcacfae253b44aa69d9bde4f26b46d5acc427518d6041a81dbcbeca42
5,102,Yusuf Pathan,nv_98e1b20302a1f463ded633c6ac1d7352d759df774a27bcc492b969f2cefdd22f
6,116,Ravi Bopara,nv_b6cca3290b0b7df494f3ce89173d84655c4681cbedc72b49e486c7bb8ad3b0c2
7,119,I Udana,nv_4b305d503bf339c90db91b0de5438b5c887ea6a5ce320a9fa8f1243ba6f2bedc
8,124,Colin Ingram,nv_5481648f7f177ec59ddbe58249ae138e4291f9d1e3455d743defc5ec5e6c6f8a
9,126,PR Stirling,nv_e7e7c8e79192a16bf0c1d519e76d22c57215a62f640eea2c0cab8cdf0012baf2
10,139,BA King,nv_f1efe7b55fb387f9e3e9761ad71b9b8eb5ded6d07318d720baf8eeb801a768a9
11,151,Zawar Farid,nv_7f34a9a2c0960fc615253f47944aa8cf73bed767722bc18ac1b997571c2863ab
12,188,SP Narine,nv_5f6a154d6c8b5fb3dd34166728139ff2d2906df6e4f339316f25a63390e181e9
13,197,AD Russell,nv_04d310024665c532cdb905c5b98788daeb902ad93096c70646c1517020264dac
14,201,Connor Esterhuizen,nv_90c2db56be4f8619c2f2b00d2a49c046e2d40c3a2866fc2515a25389b43011dc
15,215,AJ Hosein,nv_8a648ed03a9b6d2c991b381a243248767596ac9e8a36ae63f35bec4c95d780b9
16,218,Fahad Nawaz,nv_5fa8e342bae67798a9684a2c73419f0347ee2f00c874b1255d0f85e200427ae0
17,223,Ravi Rampaul,nv_7ca55d6c02cf424b8131299936fa057e6fb4d075986264404aaf0ed6db9a8d3e
18,226,Muhammad Ali Khan,nv_14ae57b1713a3a88fb49675004d5d3fde377c2353f9a749c181141dd6ba2b431
19,246,W Smeed,nv_00cf60d6d5f402c849e5a563d0bd6a387c4c5696ef5e647396711e047aaebf6f
20,252,M Waseem,nv_1f5da56b2e7a6c762bb7d59d71e60d285bfeec4bc1840ea8b16047ab5d8127a7
21,262,Andre Fletcher,nv_cd75fa245910c341bbc5f735565d8eaa89a860f90350119c4b2ff7c98b197c6d
22,296,N Pooran,nv_55ac1f06177b1e7c1c79f635ce1120f32f364eb07f4ef4bc2f8887b222184178
23,337,KA Pollard,nv_3f4384c90223b35b930fcbae02407d8ce0fab0c08b4cff3dea354b0466268e2d
24,350,N Zadran,nv_ecb8ca0dd3cfed42584eb6f14e459dd61e35a4d1f3f4470c08f6e936e94f9a6d
25,351,DJ Bravo,nv_0bc51c74b1a0234d1053c9c070dec18f1c3d9ddc1e5d25f635d03ba1a06dc18b
26,371,R Gurbaz,nv_dea91c4fb1d3daa5e8687549caf4e39fdb99b788efe1f7c14c980fddd3bf6980
27,375,E Lewis,nv_e2d5cf21542ea242df69e1ae1502798e49e4804cf07b24b6de9f08de73ed91b4
28,380,DJ Malan,nv_bc778ad18c79f358b60f0e148c84093496596ea2b776a59344b358ca3d80c46b
29,381,MM Ali,nv_fedd7eba53d6d82308a7dc04b9fae58347f80d99bcda96d527e40c8fe6a2d720
30,419,Tom Kohler Cadmore,nv_35bf6c0db54591404f5b1ee05edf3ccf02782dd83c3f346a2ccb904149dbf793
31,429,JL Denly,nv_463635e9cd524f49e114b9b32f0ac35a05cdf5d5d579ef3b108a313a512b4b94
32,441,M Nabi,nv_16d2848f095949e732ef5555300de769df7ba9b49e1ed42abcf5c3b03dc74887
33,452,CR Woakes,nv_ef4353e825be704042affe59c67fb0bde9eaff37f69eaabac8fd6eae96d552a0
34,456,MJ Siddique,nv_d784f61b65d220a05378636d59e08686c6bea897575dffe080e4e2e7e596ae5c
35,468,NM Ul-Haq,nv_9f2e5a14e403e3f752c04227ad30a4e8fdc4aaec1ccee22b3383593abf1f4b49
36,616,Matiullah Khan,nv_1f5c0c6245a14642909a410b133789506090bdcff031b12c56fc8eeac85cd05d
37,619,JM Vince,nv_dbf74d3c4bbef93a47c069cddc54556c1f637a2c1ea892508ab085380db939ad
38,622,R Ahmed,nv_79b93a9f6723160713d4a2dcc6465eff5017b73e8a4ed30f5625d9b0be3b9216
39,636,OJD Pope,nv_d61d2ab46377a43d4c2e73f0c575c33527cd0062c8553f2fcf9000613f2672aa
40,692,MG Erasmus,nv_9243513ebf8d465c1cf010c964218a24469d721bf87e75a7c66fdeeb85e8fe89
41,695,D Wiese,nv_55630592372cb2271cc9761c11b8905df765dea1ad66261d83c14aed0dbe5c31
42,696,SO Hetmyer,nv_4d6fc53989c5a5a378798e0871b513e2ab7c91e0553b6e3126d52ddced776dc5
43,833,R Mustafa,nv_4d565ba620f018c0aee549811bfb00bcdb1842966fa53e5e1de77b1c551e867c
44,839,AD Hales,nv_0c42789b889aefbc4abdd92d860646c59c9f567cf0a175b44fe4b52da0aacc12
