,cricinfo_id,nvplay_name,nvplay_id
0,883423,T Bhatia,nv_109743220cb8b84fad648bbae84c699b6d7ce5571b5b47c7d466886c04b88a32
1,951163,L Harris,nv_689b4ba325da56025866d1d39f84505d68c25b1fb6bbaad025a5547280e8b90f
2,1187120,A Capsey,nv_448ab720415631d288014d6ba44eab7c5f2110c200804d191c733c8a3f58a5e3
3,351836,M Kapp,nv_e7adcdb3698f4b0f28c8e9b2bf176446bcb6b8aad187c91abb260de1c07f33b1
4,960949,M Mani,nv_0be289334271d38ce1dba882e885e20dcc877d87bf28d0e6302536484605450f
5,630972,Poonam Yadav,nv_831143e7ad797ee27a44674b9a3184c0e33b63a73fcac6f85e3755a668204b9d
6,960845,H Deol,nv_a89ef85add44808a8c4d12feab2e447ac882ddae673f68334b1efe4983413cbb
7,961107,D Hemalatha,nv_7064b618aa22d65a8a955c292fc0d897ad525acb3203a12300de67cf2fd85edf
8,556529,S Meghana,nv_c670aa92d0280fb10fd647e7c86730d193fd28d072a291dca3c567a552bf5982
9,597821,S Verma,nv_e50b53f7fd5a5e6989267336771710177e7e7814ec1ebc94fc73749f8eb64c0b
10,922481,L Wolvaardt,nv_45b526fe4c31ec7083b6fe087dd43f9dc2d957c98daac7796da6b70c9ade3bef
11,556537,S Rana,nv_28000c39b236d463164292280e33b8b2343946096f1765ce0053a6aa938791dd
12,885815,SIR Dunkley,nv_a996dd73672da45c539e0d6ffb3371baab1bba0d0944e868803b100121c3cfe4
13,418423,KJ Garth,nv_d9a8bbed91a6be787e6a08c7cde94aa1d33e3192a193f53623138cf4863a6ef1
14,1071705,A Sutherland,nv_c186525f4a26c5e4e38ae21e8acdc1b02b1d13cab92a7f98773ee8efcfba309b
15,355349,DJS Dottin,nv_d6d5ce7e26321e33442153917da13784d3466128697422c20a76a80fb9fcfbce
16,960815,M Joshi,nv_f71a489007c6d53c351020593c88fa99b824c31b2828bc62beccbaceb8eec579
17,1345792,Ashwani Kumari,nv_7d90ada2bebf601af3f703b66e012fac9c7fa8082041bc91a468867e79c0304a
18,372317,H Kaur,nv_23f140bffc681548fd8691ef62ec24fc51ce9032e9fbee32ecf11a5f64926dfc
19,546629,H Graham,nv_b4a0f61d9c1629076665bcff12fbabf8f107888b779f98ca8d01893b44790a55
20,1255411,AB Kaur,nv_be30f1a5a5936a5cd27b6cc19b4d83c5cc63a0c3bd417f7651da3ae5414098fb
21,803971,AC Kerr,nv_6138204bcfc313f49df83b5bab3fc42a4685d0e296504ff42b8dfe936202967a
22,453370,CL Tryon,nv_9e3aee2fa43c8fded9d7a94f2993b63de7076d70f5115ba5cc4eb46bf6c59670
23,597815,S Ishaque,nv_b8a1c3ec59da38d2eb52045124df897b374efe717afde6cc4cbc3707738342dc
24,883413,P Vastrakar,nv_2ca0b3974fd64c27c067a472fcdc54864ed88b27e4eedf14b9d894d42727f251
25,597806,S Mandhana,nv_0f5286958740bee4e541e735e23e605cd801a608d896d611793a26c70ed40789
26,364413,D van Niekerk,nv_83e31429d3d7de8c61778f8ce91292069fd01642989cff5c61f9a2d5daf9b44c
