,cricinfo_id,nvplay_name
0,1255407,TR Sadhu
1,961035,Jasia Akhtar
2,960745,AD Mondal
3,627072,V Sneha Deepthi
4,1289680,HT Gala
5,1346683,Shabnam MD
6,1289559,PS Sisodia
7,1289956,SM Yadav
8,1255564,PP Bala
9,961029,N Bisht
10,1255494,IT Roy
11,960993,SS Shinde
12,1289558,LK Yadav
13,1282477,T Mathew
14,1161037,RS Panoly
15,1294146,J Giyanani
16,1193529,OJ White
17,1275937,M Clarke
18,230551,G Singh
19,1078699,B Yadram
20,1193309,Ali Sheikh
21,1345498,S Ganesh
22,233258,NK Patel
23,1339100,MW Tromp
24,1386667,P Simhadri
25,1160390,Zia Shahzad
26,1252355,B Akhilesh Reddy
27,1155264,SN Gowda
28,448249,Saad Ali
29,681067,A Raja
30,1070762,SL Van Staden
