,cricinfo_id,nvplay_name,nvplay_id
0,1255407,TR Sadhu,nv_d18100b14a8b23113cbb16c96bd8be67516aa02ba232a050ce614cee2af7eee1
1,961035,Jasia Akhtar,nv_18bd196d42f835d2797f79de760e82327142aad8e3ce736a02c90ec87096cdc2
2,960745,AD Mondal,nv_5b22affd5017efd300862d1e90e7e0022f5b7848b37e3666afb25e81a1ad3a1c
3,627072,V Sneha Deepthi,nv_5470703b1adc63a0014647169d50af811303e62b8181fa83acca5c00f2d854b9
4,1289680,HT Gala,nv_af32a983f930769375fef7688a4a952d4c97f411d48a48a1eb1947a7e6ed492c
5,1346683,Shabnam MD,nv_18182a5c82333e8d81f0f8583dc9e49103f63a0192b2d43e97ba91c3bd3b9918
6,1289559,PS Sisodia,nv_5b0d3b2488f8008aed6b7d74ef93ce6939dd834d51bddb2b5858e54c727a265a
7,1289956,SM Yadav,nv_d3348b1973d9d612678e4cd83e9ec404e9ec1dd53b4beaee9de248418838fe63
8,1255564,PP Bala,nv_3a1d1d43569a59f910890b3c755f939b20735857f569f891968c05e777a3e6c8
9,961029,N Bisht,nv_c1bb3056fa390347bff8eb9a53583fe69b146a3722c5821949c3d7f8ecbeb604
10,1255494,IT Roy,nv_e83ad7bc31fd62fb58517716cb22de3faea96ee1960c42943f3ea80795d50d9a
11,960993,SS Shinde,nv_41105bcf9994104509241fa17c3a5902611859ce3f47e259d20c62fa4ab30ea1
12,1289558,LK Yadav,nv_8591b05a36bf5cdc738ece89b27ff391dff13ffd56df40524753d98dbcba2b83
13,1282477,T Mathew,nv_26c4ccdfc64ce37b1abdbe880201ec20bec590c60521e281eaaf1368c8141690
14,1161037,RS Panoly,nv_7a268f847459eb337060c85d1d62ce71ff1bc95da3a0392022f0963db07ffdd9
15,1294146,J Giyanani,nv_32309dd5f9e2078d0f864a9d2056a73ce1667d6c8992df817102b1d76ac5bcd6
16,1193529,OJ White,nv_16bf0f21834f9952fc938f4ca52ce0d78c4808d2be1a94d36d4ba577d5494db5
17,1275937,M Clarke,nv_02f13f74fcc042767bac59c6e7c065dd5a4b891db25b1585491c8f9242cd446f
18,230551,G Singh,nv_a874c8f33d99f94fb249722c9298d898154ac7b7a566fb6bf1262220dfd3c604
19,1078699,B Yadram,nv_8cfe753496eb77b3f707fc8a49ea23027ba22971a26c61096898520a2949b9fd
20,1193309,Ali Sheikh,nv_5c25a9d8e5e2524c81cdee60dce6342e0bbe11a5562f6e4ac98aada312972b7f
21,1345498,S Ganesh,nv_e0f9fd28af16979acf8ebe76f231f55caf25042b417870df55a39400f0f732a2
22,233258,NK Patel,nv_96a5fe2e92a864f332c67b697d90870b5c9e709e7321f035c9e6f86ba9c97e4b
23,1339100,MW Tromp,nv_a8803e2530228956f413dbdf22cce08678a105ca65440ac20f6a2bb289bb2818
24,1386667,P Simhadri,nv_69e82cdb57c85f006da618928e1608fd82d34a268b1aa8584bea4de28f477ba7
25,1160390,Zia Shahzad,nv_2115ffea36a27331f14e09d1d02711d1ce6ed83b6e5ceec8d7ee9ce13ba43bd2
26,1252355,B Akhilesh Reddy,nv_9e82c61dfa8963bf65f17846b529b2b60dcd35f8c06b7ab6b337a75fb8c74d79
27,1155264,SN Gowda,nv_c691b027e8123160a74d06ae7812a4c934785e94bc84e335e62ff47c17a6bdbc
28,448249,Saad Ali,nv_e906b425447c2100364bdbae9e7acdbea6166591fe2d8cdb4d7a40a2ab37a367
29,681067,A Raja,nv_bb971b902b56af2d8c00bde9a3e19d227fcb24767c46be6209b7437da6a40ed7
30,1070762,SL Van Staden,nv_ec0d61e65227f2d8bbf9532342764eabfe444838f590aee0e068904c1d60980d
