,is_wicket_keeper,is_batsman,is_bowler,born,full_name,name,short_name,cricinfo_id,nvplay_name
0,-1,1,-1,25-3-1992,Meghann Moira Lanning,MM Lanning,Lanning,329336,MM Lanning
1,1,1,-1,28-11-1997,Taniya Bhatia,T Bhatia,Bhatia,883423,T Bhatia
2,-1,1,-1,18-8-1990,Laura Harris,L Harris,Laura Harris,951163,L Harris
3,-1,1,-1,5-9-2000,Jemimah Ivan Rodrigues,JI Rodrigues,Rodrigues,883405,JI Rodrigues
4,-1,1,-1,28-1-2004,Shafali Verma,Shafali Verma,Shafali Verma,1182523,Shafali Verma
5,-1,1,1,11-8-2004,Alice Capsey,A Capsey,Capsey,1187120,A Capsey
6,-1,1,1,4-1-1990,Marizanne Kapp,M Kapp,Kapp,351836,M Kapp
7,-1,1,1,12-5-1989,Shikha Subas Pandey,S Pandey,Pandey,442145,S Pandey
8,-1,-1,1,5-11-1992,Jessica Louise Jonassen,JL Jonassen,Jonassen,374936,JL Jonassen
9,-1,-1,1,24-3-1999,Minnu Mani,M Mani,Mani,960949,M Mani
10,-1,-1,1,4-6-1998,Tara G Norris,TG Norris,Norris,872217,TG Norris
11,-1,-1,1,24-8-1991,Poonam Yadav,Poonam Yadav,Poonam,630972,Poonam Yadav
12,-1,-1,1,4-10-1997,Arundhati Reddy,A Reddy,Reddy,960867,A Reddy
13,-1,-1,1,29-9-2004,Titas Ranadeep Sadhu,TR Sadhu,Sadhu,1255407,TR Sadhu
14,-1,-1,1,21-4-2000,Radha Prakash Yadav,RP Yadav,Yadav,960737,RP Yadav
15,-1,-1,-1,27-5-1988,Jasia Akhtar,Jasia Akhtar,,961035,Jasia Akhtar
16,-1,-1,-1,6-2-1996,Aparna Dilipkumar Mondal,AD Mondal,Mondal,960745,AD Mondal
17,-1,-1,-1,10-9-1996,Vootala Sneha Deepthi,V Sneha Deepthi,,627072,V Sneha Deepthi
18,-1,1,-1,21-6-1998,Harleen Deol,H Deol,Deol,960845,H Deol
19,-1,1,-1,29-9-1994,Dayalan Hemalatha,D Hemalatha,Hemalatha,961107,D Hemalatha
20,-1,1,-1,7-6-1996,Sabbhineni Meghana,S Meghana,Meghana,556529,S Meghana
21,1,1,-1,3-11-1992,Sushma Verma Devi,S Verma,Verma,597821,S Verma
22,-1,1,-1,26-4-1999,Laura Wolvaardt,L Wolvaardt,Wolvaardt,922481,L Wolvaardt
23,1,1,-1,14-1-1994,Bethany Louise Mooney,BL Mooney,Mooney,381258,BL Mooney
24,-1,1,1,18-2-1994,Sneh Rana,S Rana,Rana,556537,S Rana
25,-1,1,1,16-7-1998,Sophia Ivy Rose Dunkley,SIR Dunkley,Dunkley,885815,SIR Dunkley
26,-1,1,1,19-9-2006,Hurley Tanmay Gala,HT Gala,Gala,1289680,HT Gala
27,-1,1,1,15-4-1997,Ashleigh Katherine Gardner,A Gardner,Gardner,858809,A Gardner
28,-1,1,1,25-4-1996,Kimberley Jennifer Garth,KJ Garth,Garth,418423,KJ Garth
29,-1,1,1,12-10-2001,Annabel Sutherland,A Sutherland,Sutherland,1071705,A Sutherland
30,-1,1,1,21-6-1991,Deandra Jalisa Shakira Dottin,DJS Dottin,Dottin,355349,DJS Dottin
31,-1,-1,1,18-8-1993,Mansi Joshi,M Joshi,Joshi,960815,M Joshi
32,-1,-1,1,28-1-1998,Tanuja P Kanwar,TP Kanwar,Kanwar,960847,TP Kanwar
33,-1,-1,1,17-6-2007,Shabnam Md Shakil,Shabnam MD,Shabnam,1346683,Shabnam MD
34,-1,-1,1,26-5-1999,Georgia Wareham,G Wareham,Wareham,946057,G Wareham
35,-1,-1,-1,25-8-1997,Ashwani Kumari,Ashwani Kumari,,1345792,Ashwani Kumari
36,-1,-1,-1,26-4-1999,Monica Chhelaram Patel,MC Patel,Monica Patel,1213438,MC Patel
37,-1,-1,-1,1-9-2005,Parunika Sudhir Sisodia,PS Sisodia,Sisodia,1289559,PS Sisodia
38,-1,1,-1,1-11-2000,Yastika Harish Bhatia,YH Bhatia,Bhatia,960715,YH Bhatia
39,-1,1,-1,19-3-1998,Hayley Kristen Matthews,HK Matthews,Matthews,474308,HK Matthews
40,-1,1,1,8-3-1989,Harmanpreet Kaur Bhullar,H Kaur,Kaur,372317,H Kaur
41,-1,1,1,5-10-1996,Heather Graham,H Graham,Graham,546629,H Graham
