,is_wicket_keeper,is_batsman,is_bowler,born,full_name,name,short_name,cricinfo_id,nvplay_name
0,-1,-1,1,24-11-1992,Raja Akifullah Khan,Akif Raja,Akif Raja,681067,A Raja
1,-1,1,1,15-11-2005,Aayan Afzal Khan,Aayan Afzal Khan,,1241265,AA Khan
2,-1,1,1,9-3-2004,Ali Aamer Naseer,Ali Naseer,Ali Naseer,1212829,AA Naseer
3,-1,-1,1,16-11-1993,Anrich Arno Nortje,A Nortje,Nortje,481979,AA Nortje
4,-1,1,-1,25-10-1992,Adam John Hose,AJ Hose,Hose,525992,Adam Hose
5,1,1,-1,24-3-1990,Alyssa Jean Healy,AJ Healy,Healy,275486,Alyssa Healy
6,-1,1,-1,28-11-1987,Andre David Stephon Fletcher,ADS Fletcher,Fletcher,51862,Andre Fletcher
7,1,-1,-1,24-11-1993,Andries Gustav Stephanus Gous,AGS Gous,Gous,485379,Andries Gous
8,-1,-1,1,4-10-1997,Arundhati Reddy,A Reddy,Reddy,960867,Arundhati
9,-1,1,1,16-3-1991,Sobhana Asha,S Asha,Asha,550687,Asha Sobhana
10,-1,1,1,15-4-1997,Ashleigh Katherine Gardner,A Gardner,Gardner,858809,Ashleigh Gardner
11,-1,1,-1,15-4-1992,Basil Hameed,Basil Hameed,,1209110,B Hameed
12,1,1,-1,14-1-1994,Bethany Louise Mooney,BL Mooney,Mooney,381258,B Mooney
13,-1,1,1,15-11-1999,Bas de Leede,BFW de Leede,de Leede,1036191,B de Leede
14,-1,1,1,5-10-1988,Benny Alexander Cameron Howell,BAC Howell,Howell,211748,Benny Howell
15,-1,1,-1,10-4-1990,Christopher Austin Lynn,CA Lynn,Lynn,326637,C Lynn
16,-1,-1,1,4-1-1993,Calvin Peter Savage,CP Savage,Savage,450881,C Savage
17,-1,1,1,22-7-1986,Colin de Grandhomme,C de Grandhomme,de Grandhomme,55395,C de Grandhomme
18,-1,-1,1,23-1-1989,Cameron John Gannon,CJ Gannon,Gannon,326635,Cameron Gannon
