,id,age,born,bowler_sub_type,country,cricinfo_id,cricsheet_id,full_name,is_batsman,is_bowler,is_wicket_keeper,load_timestamp,name,short_name,sports_mechanics_id,striker_batting_type,source_name,nvplay_id
0,655,32y 292d,"February 23, 1990, Moratuwa",LEFT ARM ORTHODOX,Sri Lanka,300629,c8ad0749,Angelo Kanishka Perera,1.0,1.0,0.0,2023-07-14 20:55:11,Angelo Perera,AK Perera,,,AK Perera,nv_18d679dfc555029bb0b5923d4e8d6940911adb51372acad1381277e1e971b0df
1,1872,29y 311d,"February 04, 1993, Cape Town, Cape Province",RIGHT ARM FAST,South Africa,429927,7bc29ffb,Corné Adrian Dry,1.0,1.0,0.0,2023-07-15 02:33:43,Corné Dry,CA Dry,,,Corne Dry,nv_d7dcae7e9d5511c31b691f71c6c1c29fecd72fe3d9112fb74f39304e26905783
2,10476,36y 155d,"July 10, 1986, Patiala",RIGHT ARM LEG SPIN,India,317292,fb693839,Sarabjit Ladda,0.0,1.0,0.0,2023-07-15 03:35:03,Sarabjit Ladda,S Ladda,,,SS Ladda,nv_4e703be58420bb9122b49ad572e854478238e4a47dd637864f2a8f093fd63375
3,6525,26y 258d,"March 29, 1996, Durban, Natal",RIGHT ARM FAST,South Africa,542023,f834dcfc,Lungisani True-man Ngidi,0.0,1.0,0.0,2023-07-15 03:06:46,Lungi Ngidi,L Ngidi,,,L Ngidi,nv_b2178703b511b22d41fd332016370042d866ff6dab95a8bd260552f5b794f72c
4,2512,33y 185d,"June 10, 1989, Pietermaritzburg, Natal",RIGHT ARM OFF SPIN,South Africa,321777,d67d5f00,David Andrew Miller,1.0,0.0,0.0,2023-07-15 02:38:22,David Miller,DA Miller,,,DA Miller,nv_8323f145a504c0723f2d9e9e2a08c0415c2b0fc1f87a851ec02e208b0643fad5
5,11028,22y 193d,"June 02, 2000, Exeter, Devon",LEFT ARM FAST,England,902907,73f1f6b0,Thomas Alexander Lammonby,1.0,1.0,0.0,2023-07-15 03:39:08,Tom Lammonby,TA Lammonby,,,TA Lammonby,nv_b9b83a74fddee8fda1134e841879db1185d8c5f0f9006a92c3ffdc774bcbac37
6,6402,32y 116d,"August 18, 1990",nan,Australia,951163,36e2dc83,Laura Harris,1.0,0.0,0.0,2023-07-15 14:05:52,Laura Harris,L Harris,,,L Harris,nv_689b4ba325da56025866d1d39f84505d68c25b1fb6bbaad025a5547280e8b90f
7,5485,32y 236d,"April 20, 1990, Camden, New South Wales",LEFT ARM FAST,Australia,272477,4933f499,Jason Paul Behrendorff,0.0,1.0,0.0,2023-07-15 13:59:23,Jason Behrendorff,JP Behrendorff,,,JP Behrendorff,nv_b103287418407b38ac55945b3ca1a3cac564a4a43bd4266017e097802cf64a4b
8,6859,35y 314d,"February 01, 1987, Funchal, Portugal",RIGHT ARM FAST,Australia,5961,32198ae0,Moises Constantino Henriques,1.0,1.0,0.0,2023-07-15 14:09:10,Moises Henriques,MC Henriques,,,MC Henriques,nv_e07769bd8d24ad37790d484763a76358ea57d5e14d47779e49a54bb7584284e5
9,3482,38y 152d,"July 13, 1984, Pretoria",RIGHT ARM LEG SPIN,South Africa,44828,3355b542,Francois du Plessis,1.0,0.0,0.0,2023-07-15 13:45:11,Faf du Plessis,F du Plessis,,,F du Plessis,nv_cbd5e433b006d72316022a1191685da2e3b6b910405a74cf4ac45fe6c3c15247
10,9275,35y 10d,"December 02, 1987, Blackpool, Lancashire",RIGHT ARM FAST,England,473191,402f8494,Richard James Gleeson,0.0,1.0,0.0,2023-07-15 14:26:30,Richard Gleeson,RJ Gleeson,,,RJ Gleeson,nv_df7310c31f16a43dc7d9a0261451f496a018bfce46b5fe015fff589495817a09
11,6129,nan,nan,nan,India,1289983,617a0b79,Kiran Prabhu Navgire,1.0,0.0,0.0,2023-07-15 14:03:56,Kiran Prabhu Navgire,KP Navgire,,,K Navgire,nv_7a09d870a4d03b5001ef8ca34d6dd3e902201424c6ab97d60a3beecd8efa43b0
12,7404,37y 345d,"January 01, 1985, Loger, Afghanistan",RIGHT ARM OFF SPIN,Afghanistan,25913,62af8546,Mohammad Nabi,1.0,1.0,0.0,2023-07-15 14:13:06,Mohammad Nabi,Mohammad Nabi,,,Mohammad Nabi,nv_bbc7f0435e06e3cf35f1c72269ed8ca2cdd747ed55109b7e28d3d805a286fbc0
13,6915,29y 225d,"May 01, 1993, Anand, Gujarat",nan,U.S.A.,1159641,25d7f1ac,Monank Dilipbhai Patel,1.0,0.0,1.0,2023-07-15 14:09:34,Monank Patel,MD Patel,,,MD Patel,nv_1faaa16566e6ff0d39b4ec434a8026307cd2b93257dc5438a467b1edab4fe6c5
14,3080,25y 153d,"July 12, 1997, Whipps Cross, Essex",RIGHT ARM OFF SPIN,England,641423,4b685e2d,Daniel William Lawrence,1.0,0.0,0.0,2023-07-15 13:42:25,Dan Lawrence,DW Lawrence,,,D Lawrence,nv_0795c794726f414191a4acdb3f3451473a62cc96aaece095a49931466ee368a6
15,4336,33y 279d,"March 08, 1989, Punjab",RIGHT ARM OFF SPIN,India,372317,53cd8da6,Harmanpreet Kaur Bhullar,1.0,1.0,0.0,2023-07-15 13:51:11,Harmanpreet Kaur,H Kaur,,,H Kaur,nv_23f140bffc681548fd8691ef62ec24fc51ce9032e9fbee32ecf11a5f64926dfc
16,966,29y 26d,"November 16, 1993",RIGHT ARM FAST,South Africa,481979,acdc62f5,Anrich Arno Nortje,0.0,1.0,0.0,2023-07-15 13:27:23,Anrich Nortje,A Nortje,,,AA Nortje,nv_3d242a76753f110e9356a0f1c4cf9cacec9e67b9bb43f5f37c10c564957cec69
17,7081,22y 225d,"May 01, 2000",LEFT ARM FAST,South Africa,696401,81c36ee9,Marco Jansen,1.0,1.0,0.0,2023-07-15 14:10:46,Marco Jansen,M Jansen,,,M Jansen,nv_fa5ea701f4544dcdba8513751a8b7334f502ea3f5f81f524732f9d3cff5794cf
18,2346,34y 237d,"April 19, 1988, Tellicherry, Kerala",RIGHT ARM LEG SPIN,U.A.E.,474760,e5309baa,Chundangapoyil Puthiyapurayil Rizwan,1.0,0.0,0.0,2023-07-15 13:37:06,Chundangapoyil Rizwan,CP Rizwan,,,CP Rizwan,nv_9d083fde5e0a1c8a61cc17a55cf2aa7f27a1c83f4c668b34e577693a0ab27959
19,10780,33y 115d,"August 19, 1989, Jamaica",LEFT ARM FAST,West Indies,495551,a1d053dd,Sheldon Shane Cottrell,0.0,1.0,0.0,2023-07-15 14:37:15,Sheldon Cottrell,SS Cottrell,,,SS Cottrell,nv_4361f8ea9e8d5df9465d625dd908da5e842c72c0e587e273a704242496bd4d3f
20,219,22y 60d,"October 13, 2000, Wellington",RIGHT ARM LEG SPIN,New Zealand,803971,7673c908,Amelia Charlotte Kerr,1.0,1.0,0.0,2023-07-15 13:22:04,Amelia Kerr,AC Kerr,,,AC Kerr,nv_6138204bcfc313f49df83b5bab3fc42a4685d0e296504ff42b8dfe936202967a
21,3388,27y 219d,"May 07, 1995, Kingston, Jamaica",LEFT ARM ORTHODOX,West Indies,670013,b52ffbbd,Fabian Anthony Allen,1.0,1.0,0.0,2023-07-15 13:44:35,Fabian Allen,FA Allen,,,FA Allen,nv_ecbdb4bb880567e2278de5c275116124f36cdb5f93d17cb16d8fbfaa0ccc0cde
22,1985,36y 143d,"July 22, 1986, Harare",RIGHT ARM FAST,New Zealand,55395,94d7f855,Colin de Grandhomme,1.0,1.0,0.0,2023-07-15 13:34:29,Colin de Grandhomme,C de Grandhomme,,,C de Grandhomme,nv_2f5e9b74607f325c11c9dffd2affc53eccf6a874438be1eedc883e8fd02161c6
