player,cricinfo_id
M Abbas,1191366
Kumar Kartikeya,1159843
R Rayudu,1083493
S Steel,1029993
R Minz,11111111111
Z Malik,910361
S Crawley,11111111112
Vishnu Vinod,732293
CR Nicholls,1260391
D Lakra,11111111113
Yadvinder,1325519
P Sisodiya,1094992
BI Kellaway,1200126
M Suthar,1175426
H Saleem,11111111114
K Kartikeya,1159843
WS Moore,1330156
J Jarvis,1278263
R Kumar,11111111115
N Dhir,1287032
M Rizvi,1178783
H Bist,11111111116
PP Chawla,32966
S Mishra,1175457
A Guy,1195673
S Painkra,11111111117
B McMullen,949473
A Neill,1148466
V Vinod,732293
Beyers Swanepoel,698319
O Davidson,1278259
H Shokeen,1175423
BE Hendricks,379927
D Ahmed,1311039
L Naylor,1195683
Y Singh,1206052
A Madhwal,1206039
MA Leask,414966
N Wadhera,1151273
Arshad Khan,1244751
S Mulani,1131607
I Mohammad,11111111118
T Ahmad,11111111119
AM Tribe,1195664
A Shukla,1167779
Adam Patel,11111111120
WTE Smale,1158596
Z Latif,11111111121
R Singh,1079470
AC Evans,399259
RAJ Smith,458897
AJ Horton,1147983
CM McBride,1027779
D Potgieter,596442
R Rickelton,605661
W Salamkheil,1108490
AW Gorvin,737377
JAR Harris,212739
RD Rickelton,605661
H Khan,11111111122
MJ Bevans,1188372
V Chandran,1287068
CZ Taylor,1096822
BJ Morris,1258581
FDW McGreath,964085
M Rizwi,11111111123
A Basra,1259994
L Sisodia,1155253
TR Bevan,1104894
P Chawla,32966
B Swanepoel,698319
V Vats,1292515
O Hairs,414973
HE Hurle,1276118
Waqar Salamkheil,1108490
J Dickinson,1112224
V Kelley,1231047
M English,470900
J Davidson,1195676
A Pandey,1246443
J Bhula,1129632
B Punnaiah,1300712
P Mann,1299843
	
