,player,cricinfo_id
0,M Abbas,1191366
1,Kumar Kartikeya,1159843
2,R Rayudu,1083493
3,S Steel,1029993
4,R Minz,11111111111
5,Z Malik,910361
6,S Crawley,11111111112
7,Vishnu Vinod,732293
8,CR Nicholls,1260391
9,D Lakra,11111111113
10,Yadvinder,1325519
11,P Sisodiya,1094992
12,BI Kellaway,1200126
13,M Suthar,1175426
14,H Saleem,11111111114
15,K Kartikeya,1159843
16,WS Moore,1330156
17,J Jarvis,1278263
18,R Kumar,11111111115
19,N Dhir,1287032
20,M Rizvi,1178783
21,H Bist,11111111116
22,PP Chawla,32966
23,S Mishra,1175457
24,A Guy,1195673
25,S Painkra,11111111117
26,B McMullen,949473
27,A Neill,1148466
28,V Vinod,732293
29,Beyers Swanepoel,698319
30,O Davidson,1278259
31,H Shokeen,1175423
32,BE Hendricks,379927
33,D Ahmed,1311039
34,L Naylor,1195683
35,Y Singh,1206052
36,A Madhwal,1206039
37,MA Leask,414966
38,N Wadhera,1151273
39,Arshad Khan,1244751
40,S Mulani,1131607
41,I Mohammad,11111111118
42,T Ahmad,11111111119
43,AM Tribe,1195664
44,A Shukla,1167779
45,Adam Patel,11111111120
46,WTE Smale,1158596
47,Z Latif,11111111121
48,R Singh,1079470
49,AC Evans,399259
50,RAJ Smith,458897
51,AJ Horton,1147983
52,CM McBride,1027779
53,D Potgieter,596442
54,R Rickelton,605661
55,W Salamkheil,1108490
56,AW Gorvin,737377
57,JAR Harris,212739
58,RD Rickelton,605661
59,H Khan,11111111122
60,MJ Bevans,1188372
61,V Chandran,1287068
62,CZ Taylor,1096822
63,BJ Morris,1258581
64,FDW McGreath,964085
65,M Rizwi,11111111123
66,A Basra,1259994
67,L Sisodia,1155253
68,TR Bevan,1104894
69,P Chawla,32966
70,B Swanepoel,698319
71,V Vats,1292515
72,O Hairs,414973
73,HE Hurle,1276118
74,Waqar Salamkheil,1108490
75,J Dickinson,1112224
76,V Kelley,1231047
77,M English,470900
78,J Davidson,1195676
79,A Pandey,1246443
80,J Bhula,1129632
81,B Punnaiah,1300712
82,P Mann,1299843
