nvplay_name,Match,Date,cricinfo_id
Imran Tahir,Gulf Giants v MI Emirates,01/02/2023,40618.0
Jordan Thompson,Gulf Giants v MI Emirates,01/02/2023,766809.0
TA Boult,Gulf Giants v MI Emirates,01/02/2023,277912.0
F Farooqi,Gulf Giants v MI Emirates,01/02/2023,974175.0
B Hameed,Gulf Giants v MI Emirates,01/02/2023,1209110.0
A Zampa,Dubai Capitals v Desert Vipers,02/02/2023,379504.0
FJ Klaassen,Dubai Capitals v Desert Vipers,02/02/2023,1104703.0
LJ Tucker,Abu Dhabi Knight Riders v MI Emirates,03/02/2023,928057.0
M de Lange,Abu Dhabi Knight Riders v MI Emirates,03/02/2023,393279
Sabir Ali,Abu Dhabi Knight Riders v MI Emirates,03/02/2023,1328438.0
CR Brathwaite,Desert Vipers v Gulf Giants,04/02/2023,457249.0
Dominic Drakes,Desert Vipers v Gulf Giants,04/02/2023,906749.0
M Jawadullah,Abu Dhabi Knight Riders v Sharjah Warriors,04/02/2023,1353033
JB Lintott,Desert Vipers v Gulf Giants,04/02/2023,463668.0
CG Benjamin,Abu Dhabi Knight Riders v Sharjah Warriors,04/02/2023,1149157.0
C Overton,Dubai Capitals v MI Emirates,05/02/2023,464626.0
B de Leede,Dubai Capitals v MI Emirates,05/02/2023,1036191
C de Grandhomme,Sharjah Warriors v Gulf Giants,06/02/2023,55395
TG Helm,Sharjah Warriors v Gulf Giants,06/02/2023,512907.0
QK Ahmad,Sharjah Warriors v Gulf Giants,06/02/2023,914171.0
RJW Topley,MI Emirates v Dubai Capitals,09/02/2023,461632.0
RA Khan,MI Emirates v Dubai Capitals,09/02/2023,793463.0
Adam Lyth,Desert Vipers v Gulf Giants,12/02/2023,251721.0
SP Narine,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,230558.0
Connor Esterhuizen,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,1070997.0
AJ Hosein,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,530812.0
Fahad Nawaz,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,1126002.0
PBB Rajapaksa,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,342619.0
Muhammad Ali Khan,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,927119
R Powell,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,820351.0
AD Russell,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,276298.0
Ravi Rampaul,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,52912.0
SB Raza,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,299572.0
BA King,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,670035.0
JE Root,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,303669.0
Zawar Farid,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,1196500.0
Yusuf Pathan,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,32498.0
R Uthappa,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,35582
I Udana,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,328026.0
Colin Ingram,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,45705.0
PR Stirling,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,303427.0
Ravi Bopara,Dubai Capitals v Abu Dhabi Knight Riders,13/01/2023,10582.0
R Gurbaz,MI Emirates v Sharjah Warriors,14/01/2023,974087.0
JL Denly,MI Emirates v Sharjah Warriors,14/01/2023,12454
MM Ali,MI Emirates v Sharjah Warriors,14/01/2023,8917.0
MJ Siddique,MI Emirates v Sharjah Warriors,14/01/2023,1203754.0
CR Woakes,MI Emirates v Sharjah Warriors,14/01/2023,247235.0
M Nabi,MI Emirates v Sharjah Warriors,14/01/2023,25913.0
DJ Malan,MI Emirates v Sharjah Warriors,14/01/2023,236489.0
E Lewis,MI Emirates v Sharjah Warriors,14/01/2023,431901
Tom Kohler Cadmore,MI Emirates v Sharjah Warriors,14/01/2023,470633.0
NM Ul-Haq,MI Emirates v Sharjah Warriors,14/01/2023,793447.0
Andre Fletcher,MI Emirates v Sharjah Warriors,14/01/2023,51862.0
KP Meiyappan,MI Emirates v Sharjah Warriors,14/01/2023,1058987.0
M Waseem,MI Emirates v Sharjah Warriors,14/01/2023,1241277.0
W Smeed,MI Emirates v Sharjah Warriors,14/01/2023,1099224.0
N Zadran,MI Emirates v Sharjah Warriors,14/01/2023,524049.0
DJ Bravo,MI Emirates v Sharjah Warriors,14/01/2023,51439.0
Z Khan,MI Emirates v Sharjah Warriors,14/01/2023,1272475.0
KA Pollard,MI Emirates v Sharjah Warriors,14/01/2023,230559.0
N Pooran,MI Emirates v Sharjah Warriors,14/01/2023,604302.0
SO Hetmyer,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,670025.0
D Wiese,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,221140.0
SE Rutherford,Desert Vipers v Sharjah Warriors,15/01/2023,914541
SW Billings,Desert Vipers v Sharjah Warriors,15/01/2023,297628.0
T Mills,Desert Vipers v Sharjah Warriors,15/01/2023,459257.0
AD Hales,Desert Vipers v Sharjah Warriors,15/01/2023,249866.0
C Munro,Desert Vipers v Sharjah Warriors,15/01/2023,232359.0
OJD Pope,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,887207.0
MG Erasmus,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,519070
R Ahmed,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,1263691.0
JM Vince,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,296597.0
Matiullah Khan,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,1241201.0
R Mustafa,Desert Vipers v Sharjah Warriors,15/01/2023,307808.0
MD Shanaka,Dubai Capitals v Gulf Giants,16/01/2023,437316.0
Hazrat Luqman,Dubai Capitals v Gulf Giants,16/01/2023,1241269.0
PI Walter,Sharjah Warriors v MI Emirates,17/01/2023,909225.0
NL Ahmad,Sharjah Warriors v MI Emirates,17/01/2023,1182529.0
Alishan Sharafu,Sharjah Warriors v MI Emirates,17/01/2023,1161038.0
KIC Asalanka,Abu Dhabi Knight Riders v Desert Vipers,18/01/2023,784367.0
DM de Silva,Abu Dhabi Knight Riders v Desert Vipers,18/01/2023,465793.0
Kennar Lewis,Abu Dhabi Knight Riders v Desert Vipers,18/01/2023,537319.0
Raja Akifullah,Dubai Capitals v Gulf Giants,19/01/2023,681067
M Ur Rahman,Dubai Capitals v Gulf Giants,19/01/2023,974109.0
C Karunaratne,Dubai Capitals v Gulf Giants,19/01/2023,623695.0
FA Allen,Dubai Capitals v Gulf Giants,19/01/2023,670013.0
LA Dawson,Dubai Capitals v Gulf Giants,19/01/2023,211855.0
C Lynn,Dubai Capitals v Gulf Giants,19/01/2023,326637.0
Chirag Suri,Dubai Capitals v Gulf Giants,19/01/2023,534734.0
CJ Jordan,Dubai Capitals v Gulf Giants,19/01/2023,288992.0
TK Curran,Abu Dhabi Knight Riders v Desert Vipers,20/01/2023,550235.0
L Kumara,Abu Dhabi Knight Riders v Desert Vipers,20/01/2023,784375.0
D Lawrence,Dubai Capitals v Sharjah Warriors,21/01/2023,641423.0
RA Reifer,Abu Dhabi Knight Riders v MI Emirates,21/01/2023,450101.0
T Banton,Desert Vipers v Gulf Giants,22/01/2023,877051.0
Samit Patel,Dubai Capitals v MI Emirates,22/01/2023,18632.0
SM Sharma,Gulf Giants v Sharjah Warriors,23/01/2023,1199670
AA Khan,Gulf Giants v Sharjah Warriors,23/01/2023,1241265
RJ Gleeson,Gulf Giants v Sharjah Warriors,23/01/2023,473191.0
V Aravind,Desert Vipers v MI Emirates,24/01/2023,1178586.0
BTJ Wheal,Desert Vipers v MI Emirates,24/01/2023,807535.0
H Zazai,Sharjah Warriors v Dubai Capitals,26/01/2023,793457.0
AA Naseer,Dubai Capitals v Desert Vipers,28/01/2023,1212829
JT Ball,Dubai Capitals v Desert Vipers,28/01/2023,414990.0
SS Cottrell,Dubai Capitals v Desert Vipers,28/01/2023,495551.0
Gus Atkinson,Dubai Capitals v Desert Vipers,28/01/2023,1039481.0
J Clarke,Sharjah Warriors v Abu Dhabi Knight Riders,28/01/2023,571911.0
Adam Hose,Sharjah Warriors v Abu Dhabi Knight Riders,28/01/2023,525992.0
MP Stoinis,Sharjah Warriors v Abu Dhabi Knight Riders,28/01/2023,325012.0
PW Hasaranga,Dubai Capitals v Desert Vipers,28/01/2023,784379.0
MRJ Watt,Desert Vipers v MI Emirates,29/01/2023,659081
M Pathirana,Desert Vipers v MI Emirates,29/01/2023,1194795.0
Shiraz Ahmed,Desert Vipers v MI Emirates,29/01/2023,1206625
DR Mousley,Desert Vipers v MI Emirates,29/01/2023,1172968.0
Benny Howell,Desert Vipers v MI Emirates,29/01/2023,211748.0
L Wood,Desert Vipers v MI Emirates,29/01/2023,573170.0
Niroshan Dickwella,Abu Dhabi Knight Riders v Dubai Capitals,30/01/2023,429754.0
HG Munsey,Abu Dhabi Knight Riders v Dubai Capitals,30/01/2023,671805
