,nvplay_name,name,cricinfo_id
0,Imran Tahir,Imran Tahir,40618.0
1,Jordan Thompson,Jordan Thompson,766809.0
2,TA Boult,Trent Boult,277912.0
3,F Farooqi,Fazalhaq Farooqi,974175.0
4,B Hameed,Basil Hameed,1209110.0
5,A Zampa,Adam Zampa,379504.0
6,FJ Klaassen,Fred Klaassen,1104703.0
7,LJ Tucker,Lorcan Tucker,928057.0
8,M de Lange,Marchant de Lange,393279.0
9,Sabir Ali,Sabir Ali,1328438.0
10,CR Brathwaite,Carlos Brathwaite,457249.0
11,Dominic Drakes,Dominic Drakes,906749.0
12,M Jawadullah,Muhammad Jawadullah,1353033.0
13,JB Lintott,Jake Lintott,463668.0
14,CG Benjamin,Chris Benjamin,1149157.0
15,C Overton,Craig Overton,464626.0
16,B de Leede,Bas de Leede,1036191.0
17,C de Grandhomme,Colin de Grandhomme,55395.0
18,TG Helm,Tom Helm,512907.0
19,QK Ahmad,Qais Ahmad,914171.0
20,RJW Topley,Reece Topley,461632.0
21,RA Khan,Rashid Khan,793463.0
22,Adam Lyth,Adam Lyth,251721.0
23,SP Narine,Sunil Narine,230558.0
24,Connor Esterhuizen,Connor Esterhuizen,1070997.0
25,AJ Hosein,Akeal Hosein,530812.0
26,Fahad Nawaz,Fahad Nawaz,1126002.0
27,PBB Rajapaksa,Bhanuka Rajapaksa,342619.0
28,Muhammad Ali Khan,Ali Khan,927119.0
29,R Powell,Rovman Powell,820351.0
30,AD Russell,Andre Russell,276298.0
31,Ravi Rampaul,Ravi Rampaul,52912.0
32,SB Raza,Sikandar Raza,299572.0
33,BA King,Brandon King,670035.0
34,JE Root,Joe Root,303669.0
35,Zawar Farid,Zawar Farid,1196500.0
36,Yusuf Pathan,Yusuf Pathan,32498.0
37,R Uthappa,Robin Uthappa,35582.0
38,I Udana,Isuru Udana,328026.0
39,Colin Ingram,Colin Ingram,45705.0
40,PR Stirling,Paul Stirling,303427.0
41,Ravi Bopara,Ravi Bopara,10582.0
42,R Gurbaz,Rahmanullah Gurbaz,974087.0
43,JL Denly,Joe Denly,12454.0
44,MM Ali,Moeen Ali,8917.0
