,nvplay_name,name,cricinfo_id
0,AD Hales,Alex Hales,249866.0
1,L Wood,Luke Wood,573170.0
2,L Gregory,Lewis Gregory,362201.0
3,M Carter,Matthew Carter,631545.0
4,DP Conway,Devon Conway,379140.0
5,SR Hain,Sam Hain,555850.0
6,C Munro,Colin Munro,232359.0
7,Tom Kohler Cadmore,Tom Kohler-Cadmore,470633.0
8,DJ Malan,Dawid Malan,236489.0
9,FH Allen,Finn Allen,959759.0
10,Imad Wasim,Imad Wasim,227758.0
11,JL du Plooy,Leus du Plooy,595739.0
12,JM Vince,James Vince,296597.0
13,SJ Cook,Sam Cook,772061.0
14,C Overton,Craig Overton,464626.0
15,R Ahmed,Rehan Ahmed,1263691.0
16,T Mills,Tymal Mills,459257.0
17,JK Fuller,James Fuller,451782.0
18,TH David,Tim David,892749.0
19,G Garton,George Garton,643433.0
20,CJ Jordan,Chris Jordan,288992.0
21,GD Phillips,Glenn Phillips,823509.0
22,J Clarke,Joe Clarke,571911.0
23,DJ Willey,David Willey,308251.0
24,S Eskinazi,Stephen Eskinazi,631668.0
25,PD Salt,Phil Salt,669365.0
26,LJ Evans,Laurie Evans,256956.0
27,JC Buttler,Jos Buttler,308967.0
28,A Turner,Ashton Turner,500268.0
29,Max Holden,Max Holden,641387.0
30,AM Rossington,Adam Rossington,457280.0
31,MJ Critchley,Matt Critchley,776695.0
32,PI Walter,Paul Walter,909225.0
33,D Lawrence,Dan Lawrence,641423.0
34,DJ Mitchell,Daryl Mitchell,381743.0
35,MKS Pepper,Michael Pepper,772293.0
36,Luke Wells,Luke Wells,350126.0
37,TK Curran,Tom Curran,550235.0
38,LA Dawson,Liam Dawson,211855.0
39,Jordan Thompson,Jordan Thompson,766809.0
40,N Ellis,Nathan Ellis,826915.0
41,DJ Worrall,Daniel Worrall,557298.0
42,MS Wade,Matthew Wade,230193.0
43,WG Jacks,Will Jacks,897549.0
44,H Klaasen,Heinrich Klaasen,436757.0
45,SM Curran,Sam Curran,662973.0
46,JJ Roy,Jason Roy,298438.0
47,SP Narine,Sunil Narine,230558.0
48,Gus Atkinson,Gus Atkinson,1039481.0
49,JC Tongue,Josh Tongue,857975.0
50,J Cox,Jordan Cox,1112537.0
51,Ravi Bopara,Ravi Bopara,10582.0
52,SW Billings,Sam Billings,297628.0
53,Jamie Smith,Jamie Smith,1096092.0
54,W Smeed,Will Smeed,1099224.0
55,J Bethell,Jacob Bethell,1194959.0
56,BM Duckett,Ben Duckett,521637.0
57,DR Mousley,Dan Mousley,1172968.0
58,Shadab Khan,Shadab Khan,922943.0
59,CG Benjamin,Chris Benjamin,1149157.0
60,RE van der Merwe,Roelof van der Merwe,47850.0
61,Tom Abell,Tom Abell,462727.0
62,Ben Green,Ben Green,755459.0
63,J Overton,Jamie Overton,510530.0
64,D Wiese,David Wiese,221140.0
65,T Banton,Tom Banton,877051.0
66,HC Brook,Harry Brook,911707.0
67,Joe Weatherley,Joe Weatherley,748793.0
68,Shaheen Shah Afridi,Shaheen Shah Afridi,1072470.0
69,M Short,Matthew Short,605575.0
70,A John Hose,Adam Hose,525992.0
71,JB Little,Josh Little,928067.0
72,Benny Howell,Benny Howell,211748.0
73,TW Hartley,Tom Hartley,1150772.0
74,LS Livingstone,Liam Livingstone,403902.0
75,MM Ali,Moeen Ali,8917.0
76,AF Milne,Adam Milne,450860.0
77,TG Helm,Tom Helm,512907.0
78,KW Richardson,Kane Richardson,272262.0
79,U Mir,Usama Mir,647667.0
80,RJ Gleeson,Richard Gleeson,473191.0
81,Ross Whiteley,Ross Whiteley,288617.0
82,JE Root,Joe Root,303669.0
83,BA Carse,Brydon Carse,596417.0
84,Saif Zaib,Saif Zaib,663613.0
85,DR Sams,Daniel Sams,826901.0
86,WD Parnell,Wayne Parnell,265564.0
87,AU Rashid,Adil Rashid,244497.0
88,CF Parkinson,Callum Parkinson,789729.0
89,M  Fisher,Matthew Fisher,639080.0
90,M Fisher,Matthew Fisher,639080.0
91,IS Sodhi,Ish Sodhi,559066.0
92,D Payne,David Payne,362710.0
93,H Rauf,Haris Rauf,1161606.0
94,JM Bairstow,Jonny Bairstow,297433.0
95,Z Crawley,Zak Crawley,665053.0
96,BA Raine,Ben Raine,459761.0
97,NA Sowter,Nathan Sowter,747315.0
98,RJW Topley,Reece Topley,461632.0
99,CR Woakes,Chris Woakes,247235.0
100,Zak Chappell,Zak Chappell,865833.0
101,SH Johnson,Spencer Johnson,1123718.0
102,Samit Patel,Samit Patel,18632.0
103,John Turner,John Turner,1261866.0
104,JT Ball,Jake Ball,414990.0
105,A Zampa,Adam Zampa,379504.0
106,CP Wood,Chris Wood,310525.0
107,T Sangha,Tanveer Sangha,1170471.0
108,Z Khan,Zaman Khan,1272475.0
109,Adam Lyth,Adam Lyth,251721.0
110,MJ Potts,Matthew Potts,1027781.0
111,CN Ackermann,Colin Ackermann,379774.0
112,Tawanda Muyeye,Tawanda Muyeye,1260386.0
113,MJ Henry,Matt Henry,506612.0
114,LH Ferguson,Lockie Ferguson,493773.0
115,JDS Neesham,James Neesham,355269.0
116,CG Harrison,Calvin Harrison,859899.0
117,WL Madsen,Wayne Madsen,46543.0
118,MJ Santner,Mitchell Santner,502714.0
119,MS Crane,Mason Crane,660889.0
120,TG Southee,Tim Southee,232364.0
121,DJB Drummond,Daniel Bell-Drummond,422593.0
122,PR Stirling,Paul Stirling,303427.0
123,Danny Briggs,Danny Briggs,310107.0
