nvplay_name,name,cricinfo_id
TA Wood,Tom Wood,566805.0
JC Buttler,Jos Buttler,308967.0
HT Crocombe,Henry Crocombe,1143809.0
T Mills,Tymal Mills,459257.0
OJ Carter,Oli Carter,1145103.0
D Lawrence,Dan Lawrence,641423.0
Tom Bailey,Tom Bailey,473193.0
BJ Currie,Bradley Currie,1000791.0
NM Ul-Haq,Naveen-ul-Haq,793447.0
TS Roland-Jones,Toby Roland-Jones,370535.0
LP James Kimber,Louis Kimber,868843.0
LJ Hill,Lewis Hill,459754.0
Conor McKerr,Conor McKerr,807545.0
M Carter,Matthew Carter,631545.0
MJ Santner,Mitchell Santner,502714.0
WD Parnell,Wayne Parnell,265564.0
EN Gay,Emilio Gay,1148593.0
AS Singh Nijjar,Aron Nijjar,637163.0
SJ Cook,Sam Cook,772061.0
MM Ali,Moeen Ali,8917.0
Danny Briggs,Danny Briggs,310107.0
JB Lintott,Jake Lintott,463668.0
CJ Jordan,Chris Jordan,288992.0
Wes Agar,Wes Agar,959833.0
Gus Atkinson,Gus Atkinson,1039481.0
MR Quinn,Matt Quinn,559065.0
OH Dalby,Oliver Hannon-Dalby,297483.0
ER Bamber,Ethan Bamber,888191.0
TR Bevan,Thomas Bevan,1104894.0
RI Walker,Roman Walker,1046777.0
JJ Roy,Jason Roy,298438.0
Z Khan,Zaman Khan,1272475.0
JJ Bushnell,Jonathan Bushnell,1185530.0
GS Drissell,George Drissell,1012835.0
Alex Blake,Alex Blake,243944.0
HZ Finch,Harry Finch,512627.0
Dominic Drakes,Dominic Drakes,906749.0
A Karvelas,Aristides Karvelas,1115860.0
Danial Ibrahim,Danial Ibrahim,1260070.0
JT Ball,Jake Ball,414990.0
TJ Haines,Tom Haines,737871.0
RE van der Merwe,Roelof van der Merwe,47850.0
Peter Siddle,Peter Siddle,7898.0
S Snater,Shane Snater,696143.0
Benjamin Allison,Ben Allison,1098405.0
MJ Henry,Matt Henry,506612.0
SR Dickson,Sean Dickson,688141.0
LS Robinson,Luke Robinson,1377629.0
MRJ Watt,Mark Watt,659081.0
JM Blatherwick,Jack Blatherwick,1009835.0
MKS Pepper,Michael Pepper,772293.0
Thilan Walallawita,Thilan Walallawita,905931.0
Joshua De Caires,Joshua De Caires,1115195.0
JO Hull,Josh Hull,1330163.0
MG Anthony Finan,Michael Finan,1023059.0
JH Wharton,James Wharton,1147613.0
A Beard,Aaron Beard,894103.0
Callum Taylor,Callum Taylor,1096822.0
William Buttleman,William Buttleman,1095899.0
KW Richardson,Kane Richardson,272262.0
FJ Klaassen,Fred Klaassen,1104703.0
Callum Taylor,Callum Taylor,654797.0
D Pennington,Dillon Pennington,1094569.0
Shoaib Bashir,Shoaib Bashir,1334872.0
LJ  Fletcher,Luke Fletcher,297592.0
DT Moriarty,Dan Moriarty,949561.0
BD Glover,Brandon Glover,595419.0
NA Sowter,Nathan Sowter,747315.0
BA Raine,Ben Raine,459761.0
CG Harrison,Calvin Harrison,859899.0
AK Russell,Alex Russell,1154721.0
CN Miles,Craig Miles,407875.0
FJ Heldreich,Freddie Heldreich,1148589.0
B Wells,Ben Wells,1149723.0
JS Rymell,Josh Rymell,1120259.0
Jamie McIlroy,Jamie McIlroy,741831.0
Zain Ul-Hassan,Zain-ul-Hassan,1098178.0
IS Sodhi,Ish Sodhi,559066.0
Tom Lawes,Tom Lawes,1264775.0
Matthew Waite,Matthew Waite,765879.0
Harrison Ward,Harrison Ward,901657.0
BA Carse,Brydon Carse,596417.0
Harry RC Came,Harry Came,1042145.0
JH Davey,Josh Davey,407265.0
BW Sanderson,Ben Sanderson,297482.0
John Turner,John Turner,1261866.0
Dane Vilas,Dane Vilas,262456.0
J Bethell,Jacob Bethell,1194959.0
WEL Buttleman,William Buttleman,1095899.0
J Broad,Justin Broad,948595.0
Benny Howell,Benny Howell,211748.0
P Coughlin,Paul Coughlin,517542.0
T Price,Tom Price,905969.0
ME Thomas Salisbury,Matt Salisbury,524843.0
TA R Scriven,Tom Scriven,906053.0
PSP Handscomb,Peter Handscomb,334337.0
Zaman Akhter,Zaman Akhter,1141032.0
AG Salter,Andrew Salter,458895.0
Luke Wells,Luke Wells,350126.0
G Bell,George Bell,1260229.0
JL du Plooy,Leus du Plooy,595739.0
Anuj Dal,Anuj Dal,644045.0
SJ Croft,Steven Croft,11745.0
Luis Reece,Luis Reece,347661.0
L Wood,Luke Wood,573170.0
C de Grandhomme,Colin de Grandhomme,55395.0
RP Jones,Rob Jones,632173.0
TW Hartley,Tom Hartley,1150772.0
Aneurin Thomas Donald,Aneurin Donald,562281.0
PR Stirling,Paul Stirling,303427.0
Robert Yates,Robert Yates,38935.0
DJ Mitchell,Daryl Mitchell,381743.0
WL Madsen,Wayne Madsen,46543.0
Matthew McKiernan,Mattie McKiernan,570241.0
SR Hain,Sam Hain,555850.0
Jordan Thompson,Jordan Thompson,766809.0
AL Davies,Alex Davies,516039.0
H Ali,Haider Ali,1168651.0
CG Benjamin,Chris Benjamin,1149157.0
CR Woakes,Chris Woakes,247235.0
HJH Brookes,Henry Brookes,1026379.0
Adam Lyth,Adam Lyth,251721.0
DJ Malan,Dawid Malan,236489.0
Benjamin Mike,Ben Mike,1093092.0
JM Bairstow,Jonny Bairstow,297433.0
Matthew Revis,Matthew Revis,1150021.0
GLS Scrimshaw,George Scrimshaw,857979.0
Dominic Bess,Dom Bess,646847.0
Jafer Chohan,Jafer Chohan,1152986.0
Dominic Leech,Dominic Leech,1146769.0
S Masood,Shan Masood,233901.0
DR Mousley,Dan Mousley,1172968.0
WAR Fraine,Will Fraine,870785.0
Andrew Gorvin,Andy Gorvin,737377.0
WT Smale,William Smale,1158596.0
CD Fletcher,Cam Fletcher,547764.0
Haseeb Hameed,Haseeb Hameed,632172.0
Max Harris,Max Harris,1190568.0
AT Thomson,Alex Thomson,645319.0
J Shaw,Josh Shaw,567645.0
Kasey Aldridge,Kasey Aldridge,1173045.0
JC Tongue,Josh Tongue,857975.0
PR Brown,Pat Brown,891517.0
A Dale,Ajeet Singh Dale,906677.0
Tom Abell,Tom Abell,462727.0
W Smeed,Will Smeed,1099224.0
T Banton,Tom Banton,877051.0
MS Crane,Mason Crane,660889.0
CP Wood,Chris Wood,310525.0
N Ellis,Nathan Ellis,826915.0
SW Currie,Scott Currie,1104697.0
Tom Kohler Cadmore,Tom Kohler-Cadmore,470633.0
JM Vince,James Vince,296597.0
T Prest,Tom Prest,1181700.0
Joe Weatherley,Joe Weatherley,748793.0
B McDermott,Ben McDermott,603410.0
AJ Tye,Andrew Tye,459508.0
LA Dawson,Liam Dawson,211855.0
