,player_name,First Name,Surname
0,Maia Bouchier,Maia,Bouchier
1,Bharti Fulmali,Bharti,Fulmali
2,Veda Krishnamurthy,Veda,Krishnamurthy
3,Phoebe Litchfield,Phoebe,Litchfield
4,Mona Meshram,Mona,Meshram
5,Priya Punia,Priya,Punia
6,Punam Raut,Punam,Raut
7,Naomi Stalenberg,Naomi,Stalenberg
8,Dani Wyatt,Dani,Wyatt
9,Chamari Athapaththu,Chamari,Athapaththu
10,Nadine De Klerk,Nadine,De Klerk
11,Deandra Dottin,Deandra,Dottin
12,Danielle Gibson,Danielle,Gibson
13,S Meghana,S.,Meghana
14,Meghna Singh,Meghna,Singh
18,Tammy Beaumont,Tammy,Beaumont
19,Bess Heath,Bess,Heath
20,Amy Jones,Amy,Jones
21,Nuzhat Parween,Nuzhat,Parween
23,Simran Bahadur,Simran,Bahadur
24,Shamilia Connell,Shamilia,Connell
25,Kate Cross,Kate,Cross
28,Lea Tahuhu,Lea,Tahuhu
29,Ekta Bisht,Ekta,Bisht
31,Alana King,Alana,King
32,Inoka Ranaweera,Inoka,Ranaweera
33,Gouher Sultana,Gouher,Sultana
34,Amanda-Jade Wellington,Amanda-Jade,Wellington
35,Ridhima Aggarwal,Ridhima,Aggarwal
36,Jasia Akhter,Jasia,Akhter
37,Vrinda Dinesh,Vrinda,Dinesh
38,G Divya,G.,Divya
39,Arushi Goel,Arushi,Goel
40,Drishya I V,Drishya,I V
41,Trisha Poojitha,Trisha,Poojitha
43,Sarah Bryce,Sarah,Bryce
44,Uma Chetry,Uma,Chetry
45,Aparna Mondal,Aparna,Mondal
46,Theertha Satish,Theertha,Satish
47,Shivali Shinde,Shivali,Shinde
48,Raghvi Bist,Raghvi,Bist
49,Nishu Choudhary,Nishu,Choudhary
50,Hurley Gala,Hurley,Gala
51,Kashvee Gautam,Kashvee,Gautam
52,Amandeep Kaur,Amandeep,Kaur
54,Gautami Naik,Gautami,Naik
55,Parushi Prabhakar,Parushi,Prabhakar
56,S Sajana,S.,Sajana
57,Saima Thakor,Saima,Thakor
58,G Trisha,G.,Trisha
59,Haorungbam Chanu,Haorungbam,Chanu
60,Aditi Chauhan,Aditi,Chauhan
61,Komalpreet Kour,Komalpreet,Kour
63,Rekha Singh,Rekha,Singh
65,Amisha Bahukhandi,Amisha,Bahukhandi
66,Priya Mishra,Priya,Mishra
67,Parunika Sisodia,Parunika,Sisodia
68,Sonam Yadav,Sonam,Yadav
69,Sunanda Yetrekar,Sunanda,Yetrekar
70,Aaliyah Alleyne,Aaliyah,Alleyne
72,Nicola Carey,Nicola,Carey
73,Prathyusha Challuru,Prathyusha,Challuru
74,Alice Davidson Richards,Alice,Davidson Richards
75,Chinelle Henry,Chinelle,Henry
77,Arlene Kelly,Arlene,Kelly
78,Sophie Molineux,Sophie,Molineux
80,Anuja Patil,Anuja,Patil
81,Orla Prendergast,Orla,Prendergast
82,Swagatika Rath,Swagatika,Rath
83,Marufa Akter,Marufa,Akter
84,Lauren Cheatle,Lauren,Cheatle
85,Hannah Rowe,Hannah,Rowe
86,Soni Yadav,Soni,Yadav
87,Kirstie Gordon,Kirstie,Gordon
88,Fran Jonas,Fran,Jonas
