,date_id,date_name,is_injected,is_demo_data,athlete_id,athlete_name,activity_name,period_name,start_time,end_time,team_name,total_distance,total_player_load,max_vel,total_acceleration_load,velocity_band1_total_distance,velocity_band2_total_distance,velocity_band3_total_distance,velocity_band3_total_effort_count,velocity_band3_max_effort_distance,velocity_band3_max_effort_duration,velocity_band4_total_distance,velocity_band4_total_effort_count,velocity_band4_max_effort_distance,velocity_band5_total_distance,velocity_band5_total_effort_count,velocity_band5_max_effort_distance,gen2_acceleration_band1_total_effort_count,gen2_acceleration_band2_total_effort_count,gen2_acceleration_band3_total_effort_count,gen2_acceleration_band6_total_effort_count,gen2_acceleration_band7_total_effort_count,gen2_acceleration_band8_total_effort_count,total_dives,total_left_dives,total_right_dives,total_jumps,gen2_acceleration_band6plus_total_effort_count,gen2_acceleration_band3plus_total_effort_count,team_name_id,team_name_name,activity_name_id,activity_name_name,period_name_id,period_name_name,velocity_band4_average_distance,velocity_band5_average_distance,date,int_day_id,start_time_h,end_time_h,start_time_converted,start_time_uae
222,14/01/2024,14/01/2024,False,False,c6d4dbcb-7f0a-4041-855f-6cdc8ef74f3d,Corey Anderson,Activity 20240113200516,AutoCreatedPeriod,1705161916,1705180532,MI Emirates,0.0,25.85667,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0,,0.0,0,,0,0,0,0,0,0,72,36,36,0,0,0,0,0,0,0,0,0,0.0,0.0,14/01/2024,1,20:05:16,01:15:32,2024-01-13 16:05:16,2024-01-13 20:05:16+04:00
220,14/01/2024,14/01/2024,False,False,c2bec24f-9773-4a81-b273-75911c91affa,Zahoor Khan,MI Emirates Training,Warm Up,1705236718,1705237099,MI Emirates,456.52942,56.97712,18.61878,142.96382,397.95001,15.82,42.73,0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,3,0,0,72,36,36,0,3,0,0,0,0,0,0,0,0.0,0.0,14/01/2024,1,16:51:58,16:58:19,2024-01-14 12:51:58,2024-01-14 16:51:58+04:00
207,14/01/2024,14/01/2024,False,False,c23c4f39-4907-434d-a2f8-d17f590f5aed,Andre Fletcher,MI Emirates Training,Warm Up,1705236718,1705237099,MI Emirates,383.20599,39.8497,21.09885,111.63,324.20001,19.4,37.94,0,0.0,0.0,1.66,0,0.0,0.0,0,,0,0,0,3,0,0,72,36,36,0,3,0,0,0,0,0,0,0,1.66,0.0,14/01/2024,1,16:51:58,16:58:19,2024-01-14 12:51:58,2024-01-14 16:51:58+04:00
195,14/01/2024,14/01/2024,False,False,bbe6e533-c7cb-4d91-ae40-55f06eb77171,Mc Kenny Clarke,MI Emirates Training,Warm Up,1705236718,1705237099,MI Emirates,476.09003,52.64972,23.79874,129.88673,400.39999,22.21,43.31,0,0.0,0.0,10.14,0,0.0,0.0,0,,0,0,0,1,2,0,72,36,36,0,3,0,0,0,0,0,0,0,10.14,0.0,14/01/2024,1,16:51:58,16:58:19,2024-01-14 12:51:58,2024-01-14 16:51:58+04:00
115,14/01/2024,14/01/2024,False,False,5091a3ff-0ad3-4896-9392-956c91b0dbb3,Trent Bolt,MI Emirates Training,Warm Up,1705236718,1705237099,MI Emirates,412.28339,42.31253,24.28251,128.60563,314.39001,31.0,48.02,0,0.0,0.0,18.82,0,0.0,0.0,0,,0,0,0,2,1,0,72,36,36,0,3,0,0,0,0,0,0,0,18.82,0.0,14/01/2024,1,16:51:58,16:58:19,2024-01-14 12:51:58,2024-01-14 16:51:58+04:00
43,14/01/2024,14/01/2024,False,False,1c00ac2c-a548-4c2e-97d2-955945dd88e1,Nosthusha Kenjige,MI Emirates Training,Warm Up,1705236718,1705237099,MI Emirates,423.75601,50.9309,20.36736,130.09092,357.23001,21.35,45.12,0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,2,1,0,72,36,36,0,3,0,0,0,0,0,0,0,0.0,0.0,14/01/2024,1,16:51:58,16:58:19,2024-01-14 12:51:58,2024-01-14 16:51:58+04:00
106,14/01/2024,14/01/2024,False,False,4c61e306-9dc4-4534-8a7b-bbfb638f5058,Muhammad Waseem,MI Emirates Training,Warm Up,1705236718,1705237099,MI Emirates,0.0,1.48942,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0,,0.0,0,,0,0,0,0,0,0,72,36,36,0,0,0,0,0,0,0,0,0,0.0,0.0,14/01/2024,1,16:51:58,16:58:19,2024-01-14 12:51:58,2024-01-14 16:51:58+04:00
52,14/01/2024,14/01/2024,False,False,1c77138d-9a00-4e51-8adb-df184c8530b5,Jordan Thompson,MI Emirates Training,Warm Up,1705236718,1705237099,MI Emirates,469.50385,42.63875,22.20861,140.75756,391.70001,23.97,44.89,0,0.0,0.0,8.12,0,0.0,0.0,0,,0,0,0,1,2,0,72,36,36,0,3,0,0,0,0,0,0,0,8.12,0.0,14/01/2024,1,16:51:58,16:58:19,2024-01-14 12:51:58,2024-01-14 16:51:58+04:00
155,14/01/2024,14/01/2024,False,False,7560fdc0-f1dc-4171-ae93-963c90942ecf,Will Smeed,MI Emirates Training,Warm Up,1705236718,1705237099,MI Emirates,419.86499,33.39476,21.31253,123.72563,352.51001,22.63,40.86,0,0.0,0.0,3.32,0,0.0,0.0,0,,0,0,1,1,2,0,72,36,36,0,3,1,0,0,0,0,0,0,3.32,0.0,14/01/2024,1,16:51:58,16:58:19,2024-01-14 12:51:58,2024-01-14 16:51:58+04:00
116,15/01/2024,15/01/2024,False,False,5091a3ff-0ad3-4896-9392-956c91b0dbb3,Trent Bolt,MI Emirates Training,Fielding,1705237240,1705241164,MI Emirates,3811.32007,285.03645,23.90494,1003.15657,2706.71997,287.39,502.50998,0,0.0,0.0,312.75999,0,0.0,0.0,0,,0,8,23,29,5,0,72,36,36,0,34,31,0,0,0,0,0,0,156.38,0.0,15/01/2024,1,17:00:40,18:06:04,2024-01-14 13:00:40,2024-01-14 17:00:40+04:00
