id,name,catapult_id
297,Andre Fletcher,['c23c4f39-4907-434d-a2f8-d17f590f5aed']
354,Adam Milne,['07690573-9611-41bc-beb9-b13d20c4ebf4']
584,Akeal Hosein,['fa881e30-673d-4811-9191-0e483d7aa1de']
642,Akash Madhwal,['d26baa01-aa70-4e9c-a446-4348619411a7']
1082,Anmolpreet Singh,['92772dc7-fdc8-4110-8058-8af22213f4a0']
1181,Aditya Tare,['987cec3e-f549-4355-a0cb-3d2c47ba1055']
1253,Arjun Tendulkar,['ee6fd9bb-5ae6-4873-982d-432636394de5']
1317,Aryan Juyal,['c0a6dff7-0071-4aa5-a327-12bc1a28d005']
1405,Asif Khan,['9d7150c1-6f18-485e-a782-123ef40a2a43']
1444,Anukul Roy,['0ec19b84-a945-4372-837e-eb4700221968']
1699,Basil Hameed,['5826ae2d-29fe-4d9e-8241-83f8742a2e4b']
1700,Basil Thampi,['5dce18c6-e6d2-466b-836d-7413cf4b6915']
1790,Beuran Hendricks,['1fb0f1ce-f251-41bd-8687-61b94185e818']
1819,Bas de Leede,['1b54ac3b-3993-4268-b87b-9f3646944286']
2177,Chris Lynn,['7024f994-71f6-41e2-8df0-5fe2dca353cd']
2321,Connor Esterhuizen,['1e6e6600-6009-4fdf-828f-b2ba3ef0152c']
2363,Cameron Green,['ad8e0245-94e0-470b-b4f9-7d17d469b538']
2448,Corey Anderson,['c6d4dbcb-7f0a-4041-855f-6cdc8ef74f3d']
2475,Chris Jordan,['b88b2491-1504-414f-8bf3-e0050a210039']
2646,Craig Overton,['0c84ba6a-5320-4a3f-9e16-764ee200ce39']
2925,Dewald Brevis,"['79075792-ae0f-4809-8f31-f2808578fecd', '53c15aa5-9a70-40f2-abaf-f3197bf87b05', 'd0d7cf4e-36b4-4ec6-a291-935ac41b39e2']"
3112,Duan Jansen,"['14d039b9-b0c4-46b6-b1e3-12fb93ab587e', 'de893577-bae5-4f68-aaa4-552ff9e90d16']"
3119,Dwayne Bravo,['454ef7b9-1f8b-4dda-91f0-512c626e3a5d']
3345,Delano Potgieter,['3958eece-f244-462d-a9c0-895ff3681640']
3366,Digvijay Deshmukh,['83dc483a-7ae7-48b5-9b4c-a47c98b4f4a9']
3386,Daniel Sams,['92d814f9-5368-4477-8d56-1457f48fa086']
3418,Dhawal Kulkarni,['a81a366d-9cf3-4576-a7f5-dd03334583dd']
3490,David Wiese,['b5b54807-ebe5-4cd1-b9a7-8a284ca040fe']
3615,Ehsan Adil,['2867d0e2-0114-4cee-894c-8699b1a4391a']
3830,Fabian Allen,['c58648b7-91bf-4575-a252-032c56295136']
4271,George Linde,['c6cc54b5-6a96-456d-b397-a4b757aadfb3']
4509,Grant Roelofsen,['4d2d36e7-9022-490f-88a6-4e02267796ad']
4625,Hammad Azam,['ada82cf6-d4ea-4765-b27e-256121d5b3d7']
4783,Rassie van der Dussen,['e797f089-c572-4e16-8201-c4d9c0c00735']
4828,Hardik Pandya,['a106f062-026e-4f8d-b7b0-331e68924e31']
4871,Henry Brookes,['e09922de-78d3-475d-b878-c9382bd01e3a']
5005,Hrithik Shokeen,['ac4fe923-fe3a-4647-9abd-767a385f5b6c']
5266,Imran Tahir,['de9116c9-75dc-4ca0-96fe-a5c8dfc49061']
5342,Ishan Kishan,['253cb7e3-705f-4d87-ad79-d31c2c70a608']
5506,Jordan Thompson,['1c77138d-9a00-4e51-8adb-df184c8530b5']
5600,Jofra Archer,"['be9e4849-4349-4b16-8bf7-d81de1a4e898', 'ab1718c6-f9f2-4a90-805b-3ff97853ed48']"
5688,James Neesham,['91ffc3a3-2b51-4161-a7a8-c76627c1ccde']
5690,Jaydev Unadkat,['51bdd6a2-d268-4fa1-9723-8cdf1dbb43ce']
5876,Jasprit Bumrah,['4fa25b65-4b8b-40e9-bb2d-1abe0f69b7a7']
5989,James Pattinson,['0361cc25-91a0-4fc0-a55d-4fe203b3f19f']
6167,Jason Behrendorff,"['80f6e25c-11fb-49c7-961f-53fa1621f285', '0e32084c-a36e-4a85-adeb-c731d0769a14']"
6394,Jayant Yadav,['d6ece4ca-518b-41b0-9109-4de7dcd144ed']
6460,Kieron Pollard,"['15332355-4bc3-488a-a8a6-080d64b0416a', 'f2796676-a2b6-4cd1-a3e1-53119fe90f2d', 'fde53525-d000-48c7-8b99-2549533ebe28']"
6675,Krunal Pandya,['0de9f141-9b20-4d77-b1e2-2278c86ea4f4']
