record_date,player_name,form_filled_for_the_day,form_filled_by
"Friday, Feb 09, 2024",Nat Sciver-Brunt,No,NA
"Friday, Feb 09, 2024",Jintimani Kalita,No,NA
"Friday, Feb 09, 2024",Issy Wong,No,NA
"Friday, Feb 09, 2024",Humaira Kazi,No,NA
"Friday, Feb 09, 2024",Hayley Matthews,No,NA
"Friday, Feb 09, 2024",Harmanpreet Kaur,No,NA
"Friday, Feb 09, 2024",Amelia Kerr,No,NA
"Friday, Feb 09, 2024",Yastika Bhatia,Yes,Player
"Friday, Feb 09, 2024",Amanjot Kaur,Yes,Player
"Friday, Feb 09, 2024",Saika Ishaque,No,NA
"Friday, Feb 09, 2024",Pooja Vastrakar,No,NA
"Friday, Feb 09, 2024",Shabnim Ismail,No,NA
"Friday, Feb 09, 2024",Chloe Tryon,No,NA
"Friday, Feb 09, 2024",Sajeevan Sajana,Yes,Player
"Friday, Feb 09, 2024",Sathyamoorthy Keerthana,Yes,Player
"Friday, Feb 09, 2024",Priyanka Bala,No,NA
"Friday, Feb 09, 2024",Amandeep Kaur,No,NA
"Friday, Feb 09, 2024",Fatima Jaffer,No,NA
"Monday, Feb 12, 2024",Nat Sciver-Brunt,No,NA
"Monday, Feb 12, 2024",Jintimani Kalita,Yes,Player
"Monday, Feb 12, 2024",Issy Wong,No,NA
"Monday, Feb 12, 2024",Humaira Kazi,Yes,Player
"Monday, Feb 12, 2024",Hayley Matthews,No,NA
"Monday, Feb 12, 2024",Harmanpreet Kaur,No,NA
"Monday, Feb 12, 2024",Amelia Kerr,No,NA
"Monday, Feb 12, 2024",Yastika Bhatia,Yes,Player
"Monday, Feb 12, 2024",Amanjot Kaur,Yes,Player
"Monday, Feb 12, 2024",Saika Ishaque,Yes,Player
"Monday, Feb 12, 2024",Pooja Vastrakar,Yes,Player
"Monday, Feb 12, 2024",Shabnim Ismail,No,NA
"Monday, Feb 12, 2024",Chloe Tryon,No,NA
"Monday, Feb 12, 2024",Sajeevan Sajana,Yes,Player
"Monday, Feb 12, 2024",Sathyamoorthy Keerthana,Yes,Player
"Monday, Feb 12, 2024",Priyanka Bala,Yes,Player
"Monday, Feb 12, 2024",Amandeep Kaur,No,NA
"Monday, Feb 12, 2024",Fatima Jaffer,Yes,Player
"Monday, Feb 26, 2024",Nat Sciver-Brunt,Yes,Player
"Monday, Feb 26, 2024",Jintimani Kalita,No,NA
"Monday, Feb 26, 2024",Issy Wong,No,NA
"Monday, Feb 26, 2024",Humaira Kazi,No,NA
"Monday, Feb 26, 2024",Hayley Matthews,No,NA
"Monday, Feb 26, 2024",Harmanpreet Kaur,No,NA
"Monday, Feb 26, 2024",Amelia Kerr,No,NA
"Monday, Feb 26, 2024",Yastika Bhatia,Yes,Player
"Monday, Feb 26, 2024",Amanjot Kaur,No,NA
"Monday, Feb 26, 2024",Saika Ishaque,No,NA
"Monday, Feb 26, 2024",Pooja Vastrakar,No,NA
"Monday, Feb 26, 2024",Shabnim Ismail,Yes,Player
"Monday, Feb 26, 2024",Chloe Tryon,Yes,Player
"Monday, Feb 26, 2024",Sajeevan Sajana,Yes,Player
"Monday, Feb 26, 2024",Sathyamoorthy Keerthana,Yes,Player
"Monday, Feb 26, 2024",Priyanka Bala,No,NA
"Monday, Feb 26, 2024",Amandeep Kaur,No,NA
"Monday, Feb 26, 2024",Fatima Jaffer,Yes,Player
"Wednesday, Feb 21, 2024",Nat Sciver-Brunt,No,NA
"Wednesday, Feb 21, 2024",Jintimani Kalita,Yes,Player
"Wednesday, Feb 21, 2024",Issy Wong,No,NA
"Wednesday, Feb 21, 2024",Humaira Kazi,Yes,Player
"Wednesday, Feb 21, 2024",Hayley Matthews,No,NA
"Wednesday, Feb 21, 2024",Harmanpreet Kaur,No,NA
"Wednesday, Feb 21, 2024",Amelia Kerr,No,NA
"Wednesday, Feb 21, 2024",Yastika Bhatia,Yes,Player
"Wednesday, Feb 21, 2024",Amanjot Kaur,Yes,Player
"Wednesday, Feb 21, 2024",Saika Ishaque,No,NA
"Wednesday, Feb 21, 2024",Pooja Vastrakar,No,NA
"Wednesday, Feb 21, 2024",Shabnim Ismail,Yes,Player
"Wednesday, Feb 21, 2024",Chloe Tryon,Yes,Player
"Wednesday, Feb 21, 2024",Sajeevan Sajana,Yes,Player
"Wednesday, Feb 21, 2024",Sathyamoorthy Keerthana,No,NA
"Wednesday, Feb 21, 2024",Priyanka Bala,Yes,Player
"Wednesday, Feb 21, 2024",Amandeep Kaur,Yes,Player
"Wednesday, Feb 21, 2024",Fatima Jaffer,Yes,Player
"Sunday, Feb 11, 2024",Nat Sciver-Brunt,No,NA
"Sunday, Feb 11, 2024",Jintimani Kalita,No,NA
"Sunday, Feb 11, 2024",Issy Wong,No,NA
"Sunday, Feb 11, 2024",Humaira Kazi,Yes,Player
"Sunday, Feb 11, 2024",Hayley Matthews,No,NA
"Sunday, Feb 11, 2024",Harmanpreet Kaur,No,NA
"Sunday, Feb 11, 2024",Amelia Kerr,No,NA
"Sunday, Feb 11, 2024",Yastika Bhatia,Yes,Player
"Sunday, Feb 11, 2024",Amanjot Kaur,No,NA
"Sunday, Feb 11, 2024",Saika Ishaque,No,NA
"Sunday, Feb 11, 2024",Pooja Vastrakar,No,NA
"Sunday, Feb 11, 2024",Shabnim Ismail,No,NA
"Sunday, Feb 11, 2024",Chloe Tryon,No,NA
"Sunday, Feb 11, 2024",Sajeevan Sajana,Yes,Player
"Sunday, Feb 11, 2024",Sathyamoorthy Keerthana,Yes,Player
"Sunday, Feb 11, 2024",Priyanka Bala,Yes,Player
"Sunday, Feb 11, 2024",Amandeep Kaur,No,NA
"Sunday, Feb 11, 2024",Fatima Jaffer,Yes,Player
"Tuesday, Feb 20, 2024",Nat Sciver-Brunt,No,NA
"Tuesday, Feb 20, 2024",Jintimani Kalita,Yes,Player
"Tuesday, Feb 20, 2024",Issy Wong,No,NA
"Tuesday, Feb 20, 2024",Humaira Kazi,No,NA
"Tuesday, Feb 20, 2024",Hayley Matthews,No,NA
"Tuesday, Feb 20, 2024",Harmanpreet Kaur,No,NA
"Tuesday, Feb 20, 2024",Amelia Kerr,No,NA
"Tuesday, Feb 20, 2024",Yastika Bhatia,Yes,Player
"Tuesday, Feb 20, 2024",Amanjot Kaur,Yes,Player
"Tuesday, Feb 20, 2024",Saika Ishaque,No,NA
"Tuesday, Feb 20, 2024",Pooja Vastrakar,No,NA
"Tuesday, Feb 20, 2024",Shabnim Ismail,Yes,Player
"Tuesday, Feb 20, 2024",Chloe Tryon,No,NA
