player_name,season,record_date
Nat Sciver-Brunt,2024,"Friday, Feb 09, 2024"
Jintimani Kalita,2024,"Friday, Feb 09, 2024"
Issy Wong,2024,"Friday, Feb 09, 2024"
Humaira Kazi,2024,"Friday, Feb 09, 2024"
Hayley Matthews,2024,"Friday, Feb 09, 2024"
Harmanpreet Kaur,2024,"Friday, Feb 09, 2024"
Amelia Kerr,2024,"Friday, Feb 09, 2024"
Saika Ishaque,2024,"Friday, Feb 09, 2024"
Pooja Vastrakar,2024,"Friday, Feb 09, 2024"
Shabnim Ismail,2024,"Friday, Feb 09, 2024"
Amandeep Kaur,2024,"Friday, Feb 09, 2024"
Fatima Jaffer,2024,"Friday, Feb 09, 2024"
Priyanka Bala,2024,"Friday, Feb 09, 2024"
Chloe Tryon,2024,"Friday, Feb 09, 2024"
Nat Sciver-Brunt,2024,"Saturday, Feb 10, 2024"
Jintimani Kalita,2024,"Saturday, Feb 10, 2024"
Issy Wong,2024,"Saturday, Feb 10, 2024"
Humaira Kazi,2024,"Saturday, Feb 10, 2024"
Hayley Matthews,2024,"Saturday, Feb 10, 2024"
Harmanpreet Kaur,2024,"Saturday, Feb 10, 2024"
Amelia Kerr,2024,"Saturday, Feb 10, 2024"
Amanjot Kaur,2024,"Saturday, Feb 10, 2024"
Pooja Vastrakar,2024,"Saturday, Feb 10, 2024"
Shabnim Ismail,2024,"Saturday, Feb 10, 2024"
Sajeevan Sajana,2024,"Saturday, Feb 10, 2024"
Sathyamoorthy Keerthana,2024,"Saturday, Feb 10, 2024"
Amandeep Kaur,2024,"Saturday, Feb 10, 2024"
Fatima Jaffer,2024,"Saturday, Feb 10, 2024"
Chloe Tryon,2024,"Saturday, Feb 10, 2024"
Nat Sciver-Brunt,2024,"Sunday, Feb 11, 2024"
Jintimani Kalita,2024,"Sunday, Feb 11, 2024"
Issy Wong,2024,"Sunday, Feb 11, 2024"
Hayley Matthews,2024,"Sunday, Feb 11, 2024"
Harmanpreet Kaur,2024,"Sunday, Feb 11, 2024"
Amelia Kerr,2024,"Sunday, Feb 11, 2024"
Amanjot Kaur,2024,"Sunday, Feb 11, 2024"
Saika Ishaque,2024,"Sunday, Feb 11, 2024"
Pooja Vastrakar,2024,"Sunday, Feb 11, 2024"
Shabnim Ismail,2024,"Sunday, Feb 11, 2024"
Amandeep Kaur,2024,"Sunday, Feb 11, 2024"
Chloe Tryon,2024,"Sunday, Feb 11, 2024"
Nat Sciver-Brunt,2024,"Sunday, Feb 12, 2024"
Jintimani Kalita,2024,"Sunday, Feb 12, 2024"
Issy Wong,2024,"Sunday, Feb 12, 2024"
Humaira Kazi,2024,"Sunday, Feb 12, 2024"
Hayley Matthews,2024,"Sunday, Feb 12, 2024"
Harmanpreet Kaur,2024,"Sunday, Feb 12, 2024"
Amelia Kerr,2024,"Sunday, Feb 12, 2024"
Yastika Bhatia,2024,"Sunday, Feb 12, 2024"
Amanjot Kaur,2024,"Sunday, Feb 12, 2024"
Saika Ishaque,2024,"Sunday, Feb 12, 2024"
Pooja Vastrakar,2024,"Sunday, Feb 12, 2024"
Shabnim Ismail,2024,"Sunday, Feb 12, 2024"
Sajeevan Sajana,2024,"Sunday, Feb 12, 2024"
Sathyamoorthy Keerthana,2024,"Sunday, Feb 12, 2024"
Amandeep Kaur,2024,"Sunday, Feb 12, 2024"
Fatima Jaffer,2024,"Sunday, Feb 12, 2024"
Priyanka Bala,2024,"Sunday, Feb 12, 2024"
Chloe Tryon,2024,"Sunday, Feb 12, 2024"
player_name,season,record_date
Nat Sciver-Brunt,2024,"Monday, Feb 12, 2024"
Jintimani Kalita,2024,"Monday, Feb 12, 2024"
Issy Wong,2024,"Monday, Feb 12, 2024"
Humaira Kazi,2024,"Monday, Feb 12, 2024"
Hayley Matthews,2024,"Monday, Feb 12, 2024"
Harmanpreet Kaur,2024,"Monday, Feb 12, 2024"
Amelia Kerr,2024,"Monday, Feb 12, 2024"
Yastika Bhatia,2024,"Monday, Feb 12, 2024"
Amanjot Kaur,2024,"Monday, Feb 12, 2024"
Saika Ishaque,2024,"Monday, Feb 12, 2024"
Pooja Vastrakar,2024,"Monday, Feb 12, 2024"
Shabnim Ismail,2024,"Monday, Feb 12, 2024"
Sajeevan Sajana,2024,"Monday, Feb 12, 2024"
Sathyamoorthy Keerthana,2024,"Monday, Feb 12, 2024"
Amandeep Kaur,2024,"Monday, Feb 12, 2024"
Priyanka Bala,2024,"Monday, Feb 12, 2024"
Chloe Tryon,2024,"Monday, Feb 12, 2024"
