player_name
Harry Brook
Travis Head
Karun Nair
Manish Pandey
Rovman Powell
Rilee Rossouw
Steven Smith
Gerald Coetzee
Pat Cummins
Wanindu Hasaranga
Daryl Mitchell
Azmatullah Omarzai
Harshal Patel
Rachin Ravindra
Shardul Thakur
Chris Woakes
Srikar Bharat
Josh Inglis
Kusal Mendis
Phil Salt
Tristan Stubbs
Lockie Ferguson
Josh Hazlewood
Alzarri Joseph
Dilshan Madushanka
Shivam Mavi
Chetan Sakariya
Mitchell Starc
Jaydev Unadkat
Umesh Yadav
Akeal Hosein
Mujeeb Ur Rahman
Adil Rashid
Waqar Salamkheil
Tabraiz Shamsi
Ish Sodhi
Priyansh Arya
Saurav Chauhan
Shubham Dubey
Rohan Kunnummal
Angkrish Raghuvanshi
Sameer Rizvi
Manan Vohra
Raj Bawa
M Shahrukh Khan
Arshad Khan
Sarfaraz Khan
Arshin Kulkarni
Vivrant Sharma
Atit Sheth
Hrithik Shokeen
Ramandeep Singh
Ricky Bhui
Tom Kohler-Cadmore
Kumar Kushagra
Urvil Patel
Vishnu Solanki
Rasikh Salam
Yash Dayal
Sushant Mishra
Ishan Porel
Akash Singh
Kartik Tyagi
Kuldip Yadav
Murugan Ashwin
Shreyas Gopal
Pulkit Narang
M. Siddharth
Shiva Singh
Manav Suthar
Finn Allen
Alick Athanaze
Mark Chapman
Samuel Hain
Reeza Hendricks
Brandon King
Colin Munro
Sherfane Rutherford
Ashton Turner
Rassie van der Dussen
James Vince
Ibrahim Zadran
Najibullah Zadran
Sean Abbott
Ashton Agar
Wes Agar
Qais Ahmad
Rehan Ahmed
Fabian Allen
Charith Asalanka
Michael Bracewell
Brydon Carse
Tom Curran
Ben Cutting
Matthew Forde
George Garton
Jason Holder
George Linde
Keshav Maharaj
Wiaan Mulder
Mohammad Nabi
James Neesham
Jamie Overton
Keemo Paul
Dwaine Pretorius
Daniel Sams
Dasun Shanaka
Matthew Short
Odean Smith
Hanuma Vihari
David Willey
Sam Billings
Johnson Charles
Ben Duckett
Shai Hope
Varun Aaron
Fareed Ahmad
Taskin Ahmed
Gus Atkinson
Dushmantha Chameera
Ben Dwarshuis
Richard Gleeson
Matt Henry
Shoriful Islam
Kyle Jamieson
Spencer Johnson
Chris Jordan
Siddarth Kaul
Lahiru Kumara
Obed McCoy
Riley Meredith
Tymal Mills
Adam Milne
Lance Morris
Blessing Muzarabani
Richard Ngarava
Wayne Parnell
Mustafizur Rahman
Jhye Richardson
Ollie Robinson
George Scrimshaw
Tim Southee
Barinder Sran
Billy Stanlake
Olly Stone
Oshane Thomas
Nuwan Thushara
Sandeep Warrier
Lizaad Williams
Luke Wood
Dinesh Bana
Swastik Chhikara
Rajat Dey
Abhimanyu Easwaran
Rithik Easwaran
Chirag Gandhi
Nikhil Gangta
Sudip Gharami
Ansh Gosai
Azim Kazi
Amandeep Khare
Ankit Kumar
Bhupen Lalwani
Pukhraj Mann
Tanmay Mishra
Salman Nizar
Priyank Panchal
Akshat Raghuwanshi
Ekant Sen
Subhranshu Senapati
Naushad Shaikh
Dhruv Shorey
Himmat Singh
Virat Singh
Shashank Singh
Sumeet Verma
Abdul Basith
Murugan Abhishek
Atharva Ankolekar
Baba Aparajith
Jass Inder Baidwan
Corbin Bosch
Rahul Buddhi
Vaisakh Chandran
Writtick Chatterjee
Raj Chaudhary
Ravi Chauhan
Ashwin Das
Aarya Desai
Vineet Dhankhar
Naman Dhir
Harsh Dubey
Prerit Dutta
Jake Fraser-McGurk
Shubhang Hegde
Benny Howell
Saransh Jain
Duan Jansen
Mohammad Kaif
Anshul Kamboj
Aman Hakim Khan
Mohd Arslan Khan
Musheer Khan
Tanush Kotian
Sumit Kumar
Manvanth Kumar
Saurabh Kumar
Dev Lakra
Nasir Lone
Kaushik Maity
Divij Mehra
Mani Sankar Mura Singh
Abid Mushtaq
Kamlesh Nagarkoti
Sanjay Pahal
Jitender Pal
Saumy Pandey
Ansh Patel
Sairaj Patil
Pradosh Paul
Shubham Singh Pundir
Atal Rai
Abhimanyusingh Rajput
Mohit Rathee
Ninad Rathva
