player_name,team_name,competition_name
Keshav Maharaj,DURBAN SUPER GIANTS,SA20
Kyle Abbott,DURBAN SUPER GIANTS,SA20
Matthew Breetzke,DURBAN SUPER GIANTS,SA20
Junior Dala,DURBAN SUPER GIANTS,SA20
Quinton de Kock,DURBAN SUPER GIANTS,SA20
Heinrich Klaasen,DURBAN SUPER GIANTS,SA20
Kyle Mayers,DURBAN SUPER GIANTS,SA20
Wiaan Mulder,DURBAN SUPER GIANTS,SA20
Naveen-ul-Haq,DURBAN SUPER GIANTS,SA20
Bryce Parsons,DURBAN SUPER GIANTS,SA20
Keemo Paul,DURBAN SUPER GIANTS,SA20
Nicholas Pooran,DURBAN SUPER GIANTS,SA20
Dwaine Pretorius,DURBAN SUPER GIANTS,SA20
Bhanuka Rajapaksa,DURBAN SUPER GIANTS,SA20
Jason Smith,DURBAN SUPER GIANTS,SA20
JJ Smuts,DURBAN SUPER GIANTS,SA20
Prenelan Subrayen,DURBAN SUPER GIANTS,SA20
Reece Topley,DURBAN SUPER GIANTS,SA20
Noor Ahmad,DURBAN SUPER GIANTS,SA20
Tony de Zorzi,DURBAN SUPER GIANTS,SA20
Faf du Plessis,JOBURG SUPER KINGS,SA20
Moeen Ali,JOBURG SUPER KINGS,SA20
Nandre Burger,JOBURG SUPER KINGS,SA20
Gerald Coetzee,JOBURG SUPER KINGS,SA20
Sam Cook,JOBURG SUPER KINGS,SA20
Leus du Plooy,JOBURG SUPER KINGS,SA20
Donovan Ferreira,JOBURG SUPER KINGS,SA20
Dayyaan Galiem,JOBURG SUPER KINGS,SA20
Reeza Hendricks,JOBURG SUPER KINGS,SA20
Ronan Hermann,JOBURG SUPER KINGS,SA20
Imran Tahir,JOBURG SUPER KINGS,SA20
Wayne Madsen,JOBURG SUPER KINGS,SA20
Sibonelo Makhanya,JOBURG SUPER KINGS,SA20
Aaron Phangiso,JOBURG SUPER KINGS,SA20
Romario Shepherd,JOBURG SUPER KINGS,SA20
Kyle Simmonds,JOBURG SUPER KINGS,SA20
David Wiese,JOBURG SUPER KINGS,SA20
Lizaad Williams,JOBURG SUPER KINGS,SA20
Zahir Khan,JOBURG SUPER KINGS,SA20
Rashid Khan,MI CAPE TOWN,SA20
Jofra Archer,MI CAPE TOWN,SA20
Tom Banton,MI CAPE TOWN,SA20
Chris Benjamin,MI CAPE TOWN,SA20
Dewald Brevis,MI CAPE TOWN,SA20
Sam Curran,MI CAPE TOWN,SA20
Connor Esterhuizen,MI CAPE TOWN,SA20
Beuran Hendricks,MI CAPE TOWN,SA20
Duan Jansen,MI CAPE TOWN,SA20
Thomas Kaber,MI CAPE TOWN,SA20
George Linde,MI CAPE TOWN,SA20
Liam Livingstone,MI CAPE TOWN,SA20
Delano Potgieter,MI CAPE TOWN,SA20
Kagiso Rabada,MI CAPE TOWN,SA20
Ryan Rickelton,MI CAPE TOWN,SA20
Grant Roelofsen,MI CAPE TOWN,SA20
Olly Stone,MI CAPE TOWN,SA20
Rassie van der Dussen,MI CAPE TOWN,SA20
Nealan van Heerden,MI CAPE TOWN,SA20
Kieron Pollard,MI CAPE TOWN,SA20
Nuwan Thushara,MI CAPE TOWN,SA20
David Miller,PAARL ROYALS,SA20
Ferisco Adams,PAARL ROYALS,SA20
Fabian Allen,PAARL ROYALS,SA20
Jos Buttler,PAARL ROYALS,SA20
Codi Yusuf,PAARL ROYALS,SA20
Bjorn Fortuin,PAARL ROYALS,SA20
Evan Jones,PAARL ROYALS,SA20
Wihan Lubbe,PAARL ROYALS,SA20
Kwena Maphaka,PAARL ROYALS,SA20
Obed McCoy,PAARL ROYALS,SA20
Lungi Ngidi,PAARL ROYALS,SA20
Andile Phehlukwayo,PAARL ROYALS,SA20
Lhuan-dre Pretorius,PAARL ROYALS,SA20
Jason Roy,PAARL ROYALS,SA20
Tabraiz Shamsi,PAARL ROYALS,SA20
Lorcan Tucker,PAARL ROYALS,SA20
